Artista,Cancion,Palabra,Contexto
Los Tucanes De Tijuana,Temporada En La Sierra,hierba,... los dólares y la hierba son verdes es cierto ...
Los Tucanes De Tijuana,Temporada En La Sierra,sierra,... es cierto amigo la sierra es una fortuna pero ...
Los Tucanes De Tijuana,Clave Nueva,gente,... matenlo con todo y gente mil veces an ordenado ...
Los Tucanes De Tijuana,Clave Nueva,matar,... desquidado mis ordenes son matar ya se los e ...
Los Tucanes De Tijuana,Clave Nueva,polvo,... verdadero yo sigo vendiedo polvo nunca e conosido el ...
Los Tucanes De Tijuana,Clave Nueva,miedo,... nunca e conosido el miedo como e repartido kilos ...
Los Tucanes De Tijuana,Clave Nueva,gallo,... como galan soy un gallo como enemigo cuidado pa ...
Los Tucanes De Tijuana,Clave Nueva,muerte,... ir al bano la muerte a mi no me ...
Los Tucanes De Tijuana,Clave Nueva,carro,... fin primo en el carro esta un kilo traigalo ...
Los Tucanes De Tijuana,Clave Nueva,tierra,... cielo mar y por tierra ya descubrieron mi clave ...
Los Tucanes De Tijuana,El Centenario,gente,... pobre te humilla la gente si eres rico te ...
Los Tucanes De Tijuana,El Centenario,dinero,... quiso ser ahora tiene dinero de sobra por costales ...
Los Tucanes De Tijuana,El Centenario,carro,... desprecios nomás porque trae carro del año ya lo ...
Los Tucanes De Tijuana,El Centenario,gobierno,... pesos lo persigue el gobierno gabacho pero el no ...
Los Tucanes De Tijuana,El Centenario,dinero,... la mafia se gana dinero pero se necesita valor ...
Los Tucanes De Tijuana,El Centenario,patrón,... leyes o con el patrón ...
Los Tucanes De Tijuana,La Pista Secreta,jefe,... qué hubole quién habla jefe nos descubrieron la pista ...
Los Tucanes De Tijuana,La Pista Secreta,frente,... secreta maldita sea hagan frente voy para allá sacó ...
Los Tucanes De Tijuana,La Pista Secreta,polvo,... sacó una bolsa de polvo y se dio tres ...
Los Tucanes De Tijuana,La Pista Secreta,avioneta,... procedente de colombia una avioneta llegaba a la sierra ...
Los Tucanes De Tijuana,La Pista Secreta,sierra,... avioneta llegaba a la sierra sinaloense donde iba ser ...
Los Tucanes De Tijuana,La Pista Secreta,jefe,... los narcos se reportaron jefe tenemos problemas el jefe ...
Los Tucanes De Tijuana,La Pista Secreta,jefe,... jefe tenemos problemas el jefe dice hagan frente voy ...
Los Tucanes De Tijuana,La Pista Secreta,frente,... el jefe dice hagan frente voy para allá no ...
Los Tucanes De Tijuana,La Pista Secreta,traficantes,... la judicial cayeron dos traficantes quedaban cuatro nomás pero ...
Los Tucanes De Tijuana,La Pista Secreta,cuatro,... cayeron dos traficantes quedaban cuatro nomás pero cuando llegó ...
Los Tucanes De Tijuana,La Pista Secreta,jefe,... pero cuando llegó el jefe no quedó ni un ...
Los Tucanes De Tijuana,La Pista Secreta,carga,... señor aquí está la carga dijeron los colombianos entreguenos ...
Los Tucanes De Tijuana,La Pista Secreta,dinero,... los colombianos entreguenos el dinero por que ya nos ...
Los Tucanes De Tijuana,Frontera Roja,traficantes,... calles los usan los traficantes judiciales y federales frontera ...
Los Tucanes De Tijuana,Frontera Roja,judiciales,... los usan los traficantes judiciales y federales frontera roja ...
Los Tucanes De Tijuana,Frontera Roja,federales,... los traficantes judiciales y federales frontera roja le llaman ...
Los Tucanes De Tijuana,Frontera Roja,ley,... sangre que corre la ley combate las drogas y ...
Los Tucanes De Tijuana,Frontera Roja,tira,... y coca la mafia tira a matar su territorio ...
Los Tucanes De Tijuana,Frontera Roja,matar,... la mafia tira a matar su territorio es prohibido ...
Los Tucanes De Tijuana,Frontera Roja,ley,... no tiene fin la ley con ellos copera para ...
Los Tucanes De Tijuana,El Poblano,gente,... y arriba toda mi gente tijuana manda un mensaje ...
Los Tucanes De Tijuana,El Poblano,gente,... que para toda su gente las puertas estan abiertas ...
Los Tucanes De Tijuana,El Poblano,gente,... puertas estan abiertas que gente como reinaldo no se ...
Los Tucanes De Tijuana,El Poblano,diablo,... tucanes el espinazo del diablo ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,valientes,... como el rancho de valientes por los tantos que ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,matar,... imaginaba que lo querían matar la trampa estaba tendida ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,hombres,... malecon les cayeron varios hombres matándolos a traición murió ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,miedo,... y le tenían mucho miedo por eso lo traicionaron ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,banda,... balacearon manuel jalaba la banda por todito culiacan le ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,mujeres,... los caballos pero las mujeres mas no le importaba ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,dinero,... no le importaba el dinero tenia para eso y ...
Los Tucanes De Tijuana,Manuel Caro Carrillo,balazos,... rafa y manuel a balazos cobardes van a pagarlo ...
Los Tucanes De Tijuana,La Recompensa,millones,... esta alterada ofrecen cinco millones de dolar en efectivo ...
Los Tucanes De Tijuana,La Recompensa,dolar,... ofrecen cinco millones de dolar en efectivo no mas ...
Los Tucanes De Tijuana,La Recompensa,defender,... situacion se ha sabido defender pero le siguen los ...
Los Tucanes De Tijuana,La Recompensa,ley,... toditos los de la ley los contrarios en tijuana ...
Los Tucanes De Tijuana,La Recompensa,traficantes,... ejecucion dos bandas de traficantes aterran a la nacion ...
Los Tucanes De Tijuana,La Recompensa,muerto,... no ser un rico muerto ...
Los Tucanes De Tijuana,El Charro De Culiacán,polvo,... acorralaron pero ni el polvo le vieron por eso ...
Los Tucanes De Tijuana,El Charro De Culiacán,polvo,... hayan cien kilos de polvo armas y mucho dinero ...
Los Tucanes De Tijuana,El Charro De Culiacán,dinero,... polvo armas y mucho dinero donde se encuentra tu ...
Los Tucanes De Tijuana,El Charro De Culiacán,jefe,... donde se encuentra tu jefe le preguntaban los gueros ...
Los Tucanes De Tijuana,El Charro De Culiacán,jefe,... gueros yo soy el jefe señores contesto muy altanero ...
Los Tucanes De Tijuana,El Charro De Culiacán,gobierno,... menos lo esperaban al gobierno americano nadie lo puede ...
Los Tucanes De Tijuana,Clave Privada,gente,... les puede pesar mi gente se me enloquece cuando ...
Los Tucanes De Tijuana,Clave Privada,matar,... enloquece cuando le ordenó matar ya mucho tiempo fui ...
Los Tucanes De Tijuana,Clave Privada,gente,... tiempo fui pobre mucha gente me humillaba empecé a ...
Los Tucanes De Tijuana,Clave Privada,dinero,... humillaba empecé a ganar dinero las cosas están volteadas ...
Los Tucanes De Tijuana,Clave Privada,patrón,... volteadas ahora me llaman patrón tengo mi clave privada ...
Los Tucanes De Tijuana,Clave Privada,hombres,... cheyene del año dos hombres en la cajuela con ...
Los Tucanes De Tijuana,Clave Privada,cuerno,... la cajuela con un cuerno en cada mano de ...
Los Tucanes De Tijuana,Clave Privada,polvo,... compran 100 kilos de polvo como comprar unas flores ...
Los Tucanes De Tijuana,Clave Privada,mujeres,... ausentes brindemos por las mujeres las traigo siempre en ...
Los Tucanes De Tijuana,Clave Privada,gallo,... encuentran prisioneros pero este gallo es más bravo les ...
Los Tucanes De Tijuana,Clave Privada,muerte,... señores andan buscando la muerte el miedo no lo ...
Los Tucanes De Tijuana,Clave Privada,miedo,... buscando la muerte el miedo no lo conozco para ...
Los Tucanes De Tijuana,Clave Privada,valientes,... culiacán valle de puros valientes ...
Los Tucanes De Tijuana,El Chapo Guzmán,chapo,... recompensa allá agarraron al chapo las leyes guatemaltecas un ...
Los Tucanes De Tijuana,El Chapo Guzmán,chapo,... a la mañana el chapo se hizo famoso encabezaba ...
Los Tucanes De Tijuana,El Chapo Guzmán,banda,... hizo famoso encabezaba un banda de gatilleros mafiosos con ...
Los Tucanes De Tijuana,El Chapo Guzmán,gatilleros,... encabezaba un banda de gatilleros mafiosos con un apoyo ...
Los Tucanes De Tijuana,El Chapo Guzmán,chapo,... palma su socio el chapo tenía conectas con los ...
Los Tucanes De Tijuana,El Chapo Guzmán,conectas,... socio el chapo tenía conectas con los narcos colombianos ...
Los Tucanes De Tijuana,El Chapo Guzmán,distribuirla,... desde tailandia lista pa distribuirla en los países de ...
Los Tucanes De Tijuana,El Chapo Guzmán,chapo,... ningún traficante decía el chapo guzmán menos jefe de ...
Los Tucanes De Tijuana,El Chapo Guzmán,jefe,... el chapo guzmán menos jefe de una banda ni ...
Los Tucanes De Tijuana,El Chapo Guzmán,banda,... menos jefe de una banda ni armas me gusta ...
Los Tucanes De Tijuana,El Chapo Guzmán,chapo,... los he comprado el chapo con su poder a ...
Los Tucanes De Tijuana,El Chapo Guzmán,ley,... todo el país la ley nunca lo encontró su ...
Los Tucanes De Tijuana,El Chapo Guzmán,gente,... nunca lo encontró su gente sigue operando así lo ...
Los Invasores De Nuevo León,El Último Cartucho,sierra,... lo alto de la sierra vivió un hombre muy ...
Los Invasores De Nuevo León,El Último Cartucho,ley,... poblado sin que la ley lo supiera montando un ...
Los Invasores De Nuevo León,El Último Cartucho,caballo,... lo supiera montando un caballo zarco casi siempre se ...
Los Invasores De Nuevo León,El Último Cartucho,caballo,... en ancas de su caballo a esa joven se ...
Los Invasores De Nuevo León,El Último Cartucho,gobierno,... soldados y rurales el gobierno lo buscaba desde que ...
Los Invasores De Nuevo Leon,El Baron Del Golfo,gobierno,... es de texas el gobierno americano sabe que es ...
Los Invasores De Nuevo Leon,El Baron Del Golfo,azteca,... que es de sangre azteca y que juan es ...
Los Invasores De Nuevo Leon,El Baron Del Golfo,millones,... siempre les dio muchos millones de verdes pero alguien ...
Los Invasores De Nuevo Leon,El Baron Del Golfo,billetes,... juan ayudaba cubriendolo de billetes donde aprietan o chorrean ...
Los Invasores De Nuevo Leon,El Baron Del Golfo,gobierno,... condado de harrys el gobierno americano pa juzgar a ...
Los Invasores De Nuevo Leon,Miguel Perez,diablo,... valiente pero ni al diablo le teme ni se ...
Los Invasores De Nuevo Leon,Miguel Perez,muerte,... le raja a la muerte su presencia se respeta ...
Los Invasores De Nuevo Leon,El Güero Palma,tierra,... sinaloa tierra hermosa de la noria ...
Los Invasores De Nuevo Leon,El Güero Palma,ley,... se burla de la ley y del destino de ...
Los Invasores De Nuevo Leon,El Güero Palma,muerte,... del destino de la muerte no se diga a ...
Los Invasores De Nuevo Leon,El Güero Palma,dinero,... dicen que por su dinero la muerte no hagara ...
Los Invasores De Nuevo Leon,El Güero Palma,muerte,... por su dinero la muerte no hagara plata y ...
Los Invasores De Nuevo Leon,El Güero Palma,miedo,... y tambien le tuvo miedo a palma le temen ...
Los Invasores De Nuevo Leon,El Güero Palma,muerte,... de hector palma la muerte lo tuvo en brazos ...
Los Invasores De Nuevo Leon,El Güero Palma,mal,... a guadalajara como estaba mal herido permitio que lo ...
Grupo Marrano,El Vagino Dependiente,gente,... que busca entre la gente una nalga que ande ...
Grupo Marrano,El Vagino Dependiente,muerte,... le temo a la muerte primero se me para ...
Grupo Marrano,El Vagino Dependiente,gente,... que busca entre la gente una nalga que ande ...
Grupo Marrano,El Vagino Dependiente,muerte,... le temo a la muerte primero se me para ...
Grupo Marrano,El Pornotaquero,corrido,... este es el corrido del pornotaquero que vendía ...
Grupo Marrano,El Pornotaquero,gente,... recto y toda la gente se los saboreaba todos ...
Grupo Marrano,El Pornotaquero,barrio,... saboreaba todos en el barrio vivían preguntando cuál es ...
Grupo Marrano,El Pornotaquero,gente,... recto y toda la gente se los saboreaba todos ...
Grupo Marrano,El Pornotaquero,barrio,... saboreaba todos en el barrio vivían preguntando cuál es ...
Grupo Marrano,El Enfermo,frente,... el azulejo en mi frente muy duro se me ...
Grupo Marrano,El Enfermo,carro,... que traen muy buen carro que no retienen la ...
La Plebada,La Galliza,wax,... esa madre loco es wax échalo pa acá a ...
La Plebada,La Galliza,galliza,... fumar se armó la galliza una galliza a la ...
La Plebada,La Galliza,galliza,... armó la galliza una galliza a la verga cáiganle ...
La Plebada,La Galliza,galliza,... verga se armó la galliza jálese viejo también la ...
La Plebada,La Galliza,wax,... viejón ya saqué el wax date unos dabs te ...
La Plebada,La Galliza,waxito,... los forjo quemando un waxito al modo ando bien ...
La Plebada,La Galliza,galliza,... pensar se armó la galliza una galliza a la ...
La Plebada,La Galliza,galliza,... armó la galliza una galliza a la verga cáiganle ...
La Plebada,La Galliza,galliza,... verguiza se armó la galliza mija ya están los ...
La Plebada,La Galliza,galliza,... jálele se armó la galliza jálese viejo también la ...
La Plebada,La Galliza,wax,... viejón ya saqué el wax date unos dabs te ...
La Plebada,La Galliza,waxito,... el puro purrú el waxito por el tubo la ...
La Plebada,La Galliza,galliza,... up se armó la galliza una galliza a la ...
La Plebada,La Galliza,galliza,... armó la galliza una galliza a la verga cáiganle ...
La Plebada,La Galliza,galliza,... aguantan se armó la galliza unos gallitos también la ...
La Plebada,La Galliza,wax,... loco ya saqué el wax date unos dabs te ...
La Plebada,La Galliza,galliza,... verga se armó la galliza mija fierro loco a ...
T.I.,Jefe,real,... it to toast for real they say we talk ...
T.I.,Jefe,mota,... weed yo quiero grande mota man what d you ...
T.I.,Jefe,mota,... yeah yo quiero grande mota okay huh cocaína hell ...
T.I.,Jefe,cocaína,... grande mota okay huh cocaína hell yeah mucho we ...
T.I.,Be There,blunt,... i ma fire a blunt up in the air ...
T.I.,Be There,real,... make don t feel real to ya see me ...
T.I.,Be There,real,... we know he definitely real and that should be ...
T.I.,Be There,real,... that i came from real with all my real ...
T.I.,Be There,real,... real with all my real niggas and they still ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,sierra,... ayer bajé de la sierra ya me estaban esperando ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,hombres,... estaban esperando eran 100 hombres de verde tenían el ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,barrio,... por otro lado al barrio de tierra blanca muy ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,tierra,... lado al barrio de tierra blanca muy cerquita del ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,gobierno,... borrada a escondidas del gobierno son dos pendientes que ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,muerto,... todavia no me he muerto porque me puse perjumenes ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,banda,... me toquen con la banda esa pieza del barzón ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,dinero,... negar si quieres ganar dinero acercate a culiacán cuando ...
Lorenzo De Monteclaro,Ayer Baje De La Sierra,sierra,... cuando bajes de la sierra no lo vayas a ...
Lorenzo De Monteclaro,Carga Ladeada,carga,... la yegua traía la carga ladeada iba sorteando unos ...
Lorenzo De Monteclaro,Carga Ladeada,sierra,... unos pinos en la sierra de chihuahua yo no ...
Lorenzo De Monteclaro,Carga Ladeada,sierra,... había llovido en la sierra se esperaba una creciente ...
Lorenzo De Monteclaro,Carga Ladeada,gente,... grande pero defendió su gente hizo pasar a la ...
Lorenzo De Monteclaro,Carga Ladeada,teniente,... también mato a un teniente se oyeron varios balazos ...
Lorenzo De Monteclaro,Carga Ladeada,balazos,... teniente se oyeron varios balazos no pude llevar la ...
Lorenzo De Monteclaro,Carga Ladeada,r15,... un m60 cacareaba un r15 y distintas metralletas ey ...
Lorenzo De Monteclaro,Carga Ladeada,sierra,... los changos en la sierra buscaban a juan zarmiento ...
Lorenzo De Monteclaro,La Banda Del Carro Rojo,carro,... del sur en un carro colorado traían cien kilos ...
Lorenzo De Monteclaro,La Banda Del Carro Rojo,carro,... gritaba que detuvieran el carro para que los registraran ...
Lorenzo De Monteclaro,La Banda Del Carro Rojo,muerto,... pasar mis compañeros han muerto ya no podrán declarar ...
Lorenzo De Monteclaro,La Banda Del Carro Rojo,cuatro,... los siete que murieron cuatro eran del carro rojo ...
Lorenzo De Monteclaro,La Banda Del Carro Rojo,carro,... murieron cuatro eran del carro rojo los otros tres ...
Lorenzo De Monteclaro,La Banda Del Carro Rojo,gobierno,... los otros tres del gobierno por ellos no se ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,cuatro,... eran cuatro de a caballo de ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,real,... a caballo de aquel real del mapimí huyendo de ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,cuatro,... pancho era de aquellos cuatro el más feroz y ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,sanguinario,... el más feroz y sanguinario pues una vez mató ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,cuatro,... los trenes descarriló eran cuatro de a caballo de ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,real,... a caballo de aquel real del mapimí y como ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,cuatro,... robarse la catedral eran cuatro de a caballo de ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,real,... a caballo de aquel real del mapimí huyendo de ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,matar,... no lo vayas a matar ten compasión ya guillermo ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,cuatro,... el ojuela también eran cuatro de a caballo de ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,caballo,... eran cuatro de a caballo de aquel real del ...
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,real,... a caballo de aquel real del mapimí dios los ...
Lorenzo De Monteclaro,Contrabando Y Traicion,carro,... traían las llantas del carro repletas de hierba mala ...
Lorenzo De Monteclaro,Contrabando Y Traicion,hierba,... del carro repletas de hierba mala eran emilio varela ...
Lorenzo De Monteclaro,Contrabando Y Traicion,contrabando,... la traición y el contrabando son cosas incompartidas a ...
Lorenzo De Monteclaro,Contrabando Y Traicion,cuatro,... un callejón oscuro las cuatro llantas cambiarón ahí entregarón ...
Lorenzo De Monteclaro,Contrabando Y Traicion,hierba,... cambiarón ahí entregarón la hierba y ahí también les ...
Lorenzo De Monteclaro,Contrabando Y Traicion,balazos,... mi vida sonarón siete balazos camelia a emilio mataba ...
Lorenzo De Monteclaro,Contrabando Y Traicion,dinero,... se supiera nada del dinero y de camelia nunca ...
Antonio Aguilar,El Federal de Caminos,hombres,... en reynosa tamaulipas los hombres son decididos por eso ...
Antonio Aguilar,El Federal de Caminos,corrido,... bravos del norte el corrido de gerardo recuerdo aquella ...
Antonio Aguilar,El Federal de Caminos,jefe,... javier le decía al jefe más de pronto sonó ...
Antonio Aguilar,El Federal de Caminos,muerte,... los dos le dieron muerte no le dieron tiempo ...
Antonio Aguilar,El Federal de Caminos,muerte,... emboscada para poder darle muerte a javier el valor ...
Antonio Aguilar,El Federal de Caminos,corrido,... bravos del norte el corrido de gerardo ...
Antonio Aguilar,Valente Quintero,tiros,... poquitos momentos se oyen tiros de pistola valente esta ...
Antonio Aguilar,Valente Quintero,pistola,... se oyen tiros de pistola valente esta agonizando dandole ...
Antonio Aguilar,La Güera Chabela,miedo,... fuerte risada no tengas miedo comadre yo conozco mi ...
Antonio Aguilar,La Güera Chabela,pistola,... echo mano a su pistola para darle de balazos ...
Antonio Aguilar,La Güera Chabela,balazos,... pistola para darle de balazos decia su comadre antonia ...
Antonio Aguilar,La Güera Chabela,cuatro,... corresponder por ninguna distincion cuatro balazos le dio del ...
Antonio Aguilar,La Güera Chabela,balazos,... por ninguna distincion cuatro balazos le dio del lado ...
Antonio Aguilar,La Güera Chabela,corrido,... aqui se acaba el corrido de cadenas y chavela ...
Antonio Aguilar,Jose Silva Sanchez,sierra,... persiguiendo rumbo a la sierra chiquita silva sanchez iba ...
Antonio Aguilar,Jose Silva Sanchez,calle,... de lana de la calle se veía y al ...
Antonio Aguilar,Jose Silva Sanchez,tierra,... asesinos silva sanchez contestaba tierra para los campesinos y ...
Antonio Aguilar,Jose Silva Sanchez,sierra,... los niños adios la sierra chiquita adiós también mi ...
Antonio Aguilar,Jacinto Treviño,balazos,... beka se agarraron a balazos por donde quiera volaban ...
Antonio Aguilar,Jacinto Treviño,pistola,... treviño de carabina y pistola éntrele rinches cobardes que ...
Antonio Aguilar,Corrido de Macario Leyva,muerte,... acapulco vinieron pa dar muerte a don macario en ...
Antonio Aguilar,Corrido de Macario Leyva,dinero,... otro se sonrio el dinero esta en la bolsa ...
Antonio Aguilar,Corrido de Macario Leyva,muerte,... la espalda les dio muerte con una ametralladora decia ...
Antonio Aguilar,La Viuda Alegre,calle,... calle de la palma real ...
Antonio Aguilar,La Viuda Alegre,real,... calle de la palma real por qué estás tan ...
Antonio Aguilar,La Viuda Alegre,muerte,... tan asombrosa por la muerte de un amigo que ...
Antonio Aguilar,La Viuda Alegre,matar,... a pensar voy a matar mi marido para poderme ...
Antonio Aguilar,La Viuda Alegre,matar,... qué me vas a matar por un amigo que ...
Antonio Aguilar,La Viuda Alegre,gente,... ocupar tu lugar la gente lo presentía la gente ...
Antonio Aguilar,La Viuda Alegre,gente,... gente lo presentía la gente lo comentaba ahí viene ...
Antonio Aguilar,La Viuda Alegre,gente,... pasaba unos días la gente lo presentía la gente ...
Antonio Aguilar,La Viuda Alegre,gente,... gente lo presentía la gente lo comentaba ahí viene ...
Los Huracanes Del Norte,El Corrido De Juan Martha,diablo,... decian que cargaba el diablo mentiras no traia nada ...
Los Huracanes Del Norte,El Corrido De Juan Martha,pistola,... su cintura era una pistola escuadra robaba y mataba ...
Los Huracanes Del Norte,El Corrido De Juan Martha,gente,... escuadra robaba y mataba gente por que asi se ...
Los Huracanes Del Norte,El Corrido De Juan Martha,gobierno,... aguerrido y temido del gobierno los rurales le temian ...
Los Huracanes Del Norte,El Corrido De Juan Martha,corrido,... que sigan cantando el corrido de juan martha ...
Los Huracanes Del Norte,El Gato Negro,traficantes,... yo conozco todos los traficantes y criminales de la ...
Los Huracanes Del Norte,El Gato Negro,sierra,... la región desde la sierra allá en chihuahua con ...
Los Huracanes Del Norte,El Gato Negro,carga,... allá en chihuahua con carga blanca viajaba yo y ...
Los Huracanes Del Norte,El Gato Negro,hierba,... migración cargas enteras de hierba buena lleve a chicago ...
Los Huracanes Del Norte,El Gato Negro,muerte,... norte ni de la muerte yo me acorde por ...
Los Huracanes Del Norte,La Fiera,muerto,... al fiscal lo hallaron muerto en un arroyo cercano ...
Los Huracanes Del Norte,La Fiera,balazos,... arroyo cercano con tres balazos al cuerpo y le ...
Los Huracanes Del Norte,La Fiera,judiciales,... de inhumano tres policías judiciales que tanto lo atormentaron ...
Los Huracanes Del Norte,La Fiera,sierra,... anda vagando en la sierra y vengando una injusticia ...
Los Huracanes Del Norte,El Leon De La Sierra,federales,... mañana un grupo de federales en busca de hierba ...
Los Huracanes Del Norte,El Leon De La Sierra,hierba,... federales en busca de hierba mala que se hallaba ...
Los Huracanes Del Norte,El Leon De La Sierra,sierra,... se hallaba entre la sierra también el que la ...
Los Huracanes Del Norte,El Leon De La Sierra,hierba,... que nos entregue la hierba el viejito les contesta ...
Los Huracanes Del Norte,El Leon De La Sierra,hierba,... por uno y con hierba los quemo murieron los ...
Los Huracanes Del Norte,El Leon De La Sierra,federales,... los quemo murieron los federales en las manos de ...
Los Huracanes Del Norte,El Leon De La Sierra,sierra,... terrible león de la sierra ...
