artist,album,year,song,lyrics,conteo_narco,es_narco_fuerte,decada,lyrics_limpias,subgenero_ia
Los Tucanes De Tijuana,Tus verdades/ El compositor,1996,El compositor,"Un dia por la calle
A un loco me encontre
Me dijo oiga compa le invito
A comer
Q bueno q lo encuentro qiero hablar con usted
Q bueno q lo encuentro qiero hablar con usted
Al restaurant entramos
Y pidio dos cafes
Soy gran compositor
Para servir a usted
Qiero q oiga estos versos m qedaron muy bien
Qiero q oiga estos versos m qedaron muy bien

Aver! echalos
Yo t digo

Elefantito, elefantito q vuelas de flor en flor
T voy a comprar unos lentes para q no andes descalzo
A las 12 de la noche ya no soportaba el sol
Nadando por el free wey y mejor entre a una rifa
Un perrito muy grandote de las alas coloradas
Para q qiero la vida si apenas viene diciembre

Un dia por la calle
A un loco me encontre
Me dijo oiga compa le invito
A comer
Q bueno q lo encuentro qiero hablar con usted
Q bueno q lo encuentro qiero hablar con usted
Al restaurant entramos
Y pidio dos cafes
Soy gran compositor
Para servir a usted
Qiero q oiga estos versos m qedaron muy bien
Qiero q oiga estos versos m qedaron muy bien

Espero que esten mejor
Claro si faltan los meros buenos
El dinero no m importa yo prefiero la riqeza
El pobre mejor vive mejor por eso qiero ser rico
Qisiera ser pajarillo pa tener muxo ganado
Mi madre m dijo un dia ami m gusta la guerra

Sabes q? otro de esos y le paramos
No este es el bueno ahi t va
Estrellita del oriente con r de la de acero
Dime q tienen tus ojos alcavo yo se qien fue
Jeje no tienes remedio nos vemos!",3,True,1990,dia calle loco encontre oiga compa invito comer q bueno q encuentro qiero hablar usted q bueno q encuentro qiero hablar usted restaurant entramos pidio cafes gran compositor servir usted qiero q oiga estos versos m qedaron qiero q oiga estos versos m qedaron aver echalos t elefantito elefantito q vuelas flor flor t comprar unos lentes q andes descalzo noche soportaba sol nadando free wey rifa perrito grandote alas coloradas q qiero vida apenas viene diciembre dia calle loco encontre oiga compa invito comer q bueno q encuentro qiero hablar usted q bueno q encuentro qiero hablar usted restaurant entramos pidio cafes gran compositor servir usted qiero q oiga estos versos m qedaron qiero q oiga estos versos m qedaron espero esten claro faltan meros buenos dinero m prefiero riqeza pobre vive qiero ser rico qisiera ser pajarillo tener muxo ganado madre m dia ami m gusta guerra q otro esos paramos bueno ahi t estrellita oriente r acero dime q tienen ojos alcavo qien jeje tienes remedio vemos,14
El As De La Sierra,Corridos Con Banda Sinaloense AHOME,1997,El Muchacho Alegre,"Qué hay compa Silvano Martín, ¿nos echamos una manita?
Pues pa eso me anda buscando, traigo una baraja nuevecita, compa
Pues vamos echándola y que nos acompañe la banda

Cántele, mi compa More
Cántese esa que habla por los caballos
Que nos vamos a la fiesta de San Marcos a escuchar la banda, hombre
Y a pegarle una buena calada a esos caballos

Yo soy el muchacho alegre
Que me amanezco tomando
Con mi botella de vino
Y mi baraja jugando

Una baraja nueva
Los quisiera ver jugar
A ver si conmigo pierden
Hasta el modito de andar

Y ándele, mi compa, que ruede ese caballo, atraviéselo
Jálele esa rienda, no se deje el del jorongo

Si quieres saber quién soy
Pregúntaselo a cupido
Yo soy el muchacho alegre
Del cielo favorecido

No tengo padre ni madre
Ni quien se duela de mí
Solo la cama en que duermo
Se compadece de mí

Y andeles, mi compa Maque, muévalo, muévalo
Quién lo ve, mi compa que ya cae a la rienda bien larguita, atraviéselo

Como la sandía
Tienes lo verde por fuera
Y quieres que otro te goce
Pídele a dios que me muera

Con esta me despido
A orillas de un campo verde
Aquí se acaba cantando
Versos del muchacho alegre",3,True,1990,compa silvano martín echamos manita anda buscando traigo baraja nuevecita compa echándola acompañe banda cántele compa more cántese esa habla caballos fiesta san marcos escuchar banda hombre pegarle buena calada esos caballos muchacho alegre amanezco tomando botella vino baraja jugando baraja nueva quisiera ver jugar ver conmigo pierden modito andar ándele compa ruede caballo atraviéselo jálele esa rienda deje jorongo quieres saber pregúntaselo cupido muchacho alegre cielo favorecido tengo padre madre duela cama duermo compadece andeles compa maque muévalo muévalo ve compa cae rienda larguita atraviéselo sandía tienes verde fuera quieres otro goce pídele dios muera despido orillas campo verde acaba cantando versos muchacho alegre,7
Grupo Exterminador,Narco Corridos 2,1997,La Fiesta De Los Perrones,"Oiga, ¿y a usted quién lo invito?
¡Nadie!, yo me invité solo
Sácame este colado y mátamelo ahí afuera
¿Ya oíste?, cálale pa fuera, porque te voy a quebrar

Silencio, señores
Brindemos por la gente de la sierra
Y brindemos por México
Y que viva México, señores
¡Que viva!

La fiesta de los perrones
Ahora se está celebrando
Hay jefes de Sinaloa
De Michoacán y Durango
De Jalisco y de Sonora
De Chihuahua y colombianos

El acordeón y la tuba
Es el sabor de la fiesta
Al rojo vivo se ponen
Que el más dormido despierta
Con pisto de todas clases
Y el aliviane en la mesa

En estos fiestononones
La cosa está muy privada
De todo hay como en botica
Para la gente invitada
Allí no miras gorrones
Es pura gente pesada

En trocononas del año
Otros en carros blindados
Llegan en limos de lujo
Y hasta en aviones privados
Ni quien lo dude, señores
Son perronones pesados

Exterminador

El gobierno ya lo sabe
Dónde se van a reunir
Por qué no van a agarrarlos
No les ha de convenir
O simplemente le sacan
Porque se van a morir

La mafia siempre ha existido
Igual que la corrupción
Y no crean que va a acabarse
Con la certificación
Es cuento de la política
Pa hacerla más de emoción

Sabemos que el narco imperio
Nunca lo van a tumbar
Si en la política grande
No dejan de cooperar
Si andan en el mismo barco
Juntos lo van a remar",3,True,1990,oiga usted invito nadie invité sácame colado mátamelo afuera oíste cálale fuera quebrar silencio señores brindemos gente sierra brindemos méxico viva méxico señores viva fiesta perrones ahora celebrando jefes sinaloa michoacán durango jalisco sonora chihuahua colombianos acordeón tuba sabor fiesta rojo vivo ponen dormido despierta pisto todas clases aliviane mesa estos fiestononones cosa privada todo botica gente invitada allí miras gorrones pura gente pesada trocononas año otros carros blindados llegan limos lujo aviones privados dude señores son perronones pesados exterminador gobierno sabe dónde reunir agarrarlos convenir simplemente sacan morir mafia siempre existido igual corrupción crean acabarse certificación cuento política hacerla emoción sabemos narco imperio nunca tumbar política grande dejan cooperar andan mismo barco juntos remar,7
Grupo Exterminador,Narco Corridos 2,1997,Entre Perico Y Perico,"Ey, muchacho
Ya llevas muchos días tomando
Ya párale
Vamos, te voy a llevar a tu casa

Se me amaneció otra vez
No sé qué me está pasando
Entre perico y perico
Paso las noches tomando
A veces siento que caigo
Y a veces ando volando

El día que muera yo
Quiero morirme en avión
Con el motor alterado
Pa' sentir el arrancón
Porque dicen que la altura
Es bonita la emoción

La muerte me anda buscando
No me le voy a esconder
Por el contrario si la encuentro
Se qué me va a comprender
Y Dios me dará licencia
De ver otro amanecer

Las cantinas que hay aquí
Las recorro sin parar
Con el bíper en la bolsa
Que no deja de sonar
Porque hay muchos compañeros
Que también quieren volar

Los que sepan de estas cosas
Sé qué me están entendiendo
Y los que no las conozcan
Poco a poco irán sabiendo
Que en este mundo tirano
Mucho más se está viviendo

La muerte me anda buscando
No me le voy a esconder
Por el contrario si la encuentro
Sé qué me a comprender
Y que Dios me dará licencia
De ver otro amanecer",3,True,1990,ey muchacho llevas muchos días tomando párale llevar casa amaneció otra pasando perico perico noches tomando veces siento caigo veces volando muera quiero morirme avión motor alterado sentir arrancón altura bonita emoción muerte anda buscando esconder contrario encuentro comprender dios dará licencia ver otro amanecer cantinas recorro parar bíper bolsa deja sonar muchos compañeros quieren volar sepan estas cosas están entendiendo conozcan poco poco irán sabiendo mundo tirano mucho viviendo muerte anda buscando esconder contrario encuentro comprender dios dará licencia ver otro amanecer,7
Vaquero's Musical,Vaquero's Musical,1997,Ocho Kilos de Goma,"Y no ande quemando a la raza camarada

Con ocho kilos de goma en villa union me agarraron
la llevaba bien clavada en mi sombrero y las botas
por eso los federales no hallaban nada en mi troca

Me subieron en la rampa y se metieron debajo
por mas que la revisaron la droga no la encontraron
el comandante molesto lueguito me interrogaba

Usted pa' donde camina con esas botas tan finas
digame cual es su nombre tambien a que se dedica
con el sombrero y las botas parece que eres artista

Le conteste al comandante de un grupo soy vocalista
y voy para el espinal a recoger a mi esposa
el comandante me dijo que me quitara las botas

Al agacharme poquito mi sombrero se cayó
y al recogerme el sombrero la duda pronto le entro
el comandante fue listo la droga me la encontro

Al quitarme la chamarra la faja me descubria
lo mismo paso en las botas de armadillo que traia
nimodo ya me torcieron maldita la suerte mia",3,True,1990,ande quemando raza camarada ocho kilos goma villa union agarraron llevaba clavada sombrero botas federales hallaban nada troca subieron rampa metieron debajo revisaron droga encontraron comandante molesto lueguito interrogaba usted camina esas botas finas digame cual nombre tambien dedica sombrero botas parece artista conteste comandante grupo vocalista espinal recoger esposa comandante quitara botas agacharme poquito sombrero cayó recogerme sombrero duda pronto entro comandante listo droga encontro quitarme chamarra faja descubria mismo botas armadillo traia nimodo torcieron maldita suerte mia,13
Antonio Aguilar,Corridos,1997,Corrido De Lucio Vazquez,"Volaron los pavos reales rumbo a la Sierra Mojada
Mataron a Lucio Vázquez
Por una joven que amaba

A las 11 de la noche, estaba Lucio cenando
Llegaron unos amigos
Para invitarlo a un fandango

Corrido de Lucio Vázquez, un hombre, sí señores

Su madre se lo decía, me lo avisa el corazón
No vayas, Lucio, a ese baile
Cuídate de una traición

Montaron en sus caballos rumbo a la Sierra Mojada
Donde se hallaba la joven
Que Lucio tanto adoraba

Lucio Vázquez, un hombre

Cuando llegaron al baile, Lucio no quiso tomar
Uno le brinda una copa
Y otro le clava un puñal

Luego que ya lo mataron, le echaban tierra en la boca
No es lo mismo ver morir
Como cuando a uno le toca

¡Lucio Vázquez!

Volaron los pavos reales rumbo a la Sierra Mojada
Mataron a Lucio Vázquez
Por una joven que amaba",3,True,1990,volaron pavos reales rumbo sierra mojada mataron lucio vázquez joven amaba noche estaba lucio cenando llegaron unos amigos invitarlo fandango corrido lucio vázquez hombre señores madre decía avisa corazón vayas lucio baile cuídate traición montaron caballos rumbo sierra mojada hallaba joven lucio tanto adoraba lucio vázquez hombre llegaron baile lucio quiso tomar uno brinda copa otro clava puñal luego mataron echaban tierra boca mismo ver morir uno toca lucio vázquez volaron pavos reales rumbo sierra mojada mataron lucio vázquez joven amaba,13
Los Tigres Del Norte,Jefe De Jefes,1997,Carne Quemada,"En el desierto olía
a pura carne quemada
con fierros al rojo vivo
a un hombre lo torturaban
para que diera el pitazo
la carga quien la llevaba

una pista clandestina
hicieron en el desierto
la federal los hallo
junto con un campamento
aquella noche pelearon
había 17 muertos

el helicóptero andaba
sonando un mini 14
abajo cuernos de chivo
y carabinas del 12
relampagueban seguido
las R-15 esa noche

al de la carne quemada
su libertad se la dieron
no antes sin que dejara
un montonal de dinero
hasta le dieron los nombres
de 3 que a el lo vendieron

siempre hay un pelo en la sopa
y una culebra en la mafia
por eso los federales
a muchos grandes destapan
no creo que sean adivinos
para encontrar tanta mata

3 muertos aparecieron
de bala en una cantina
después se supo que fueron
los que la hacían de madrina
el de la carne quemada
puede seguir su rutina",3,True,1990,desierto olía pura carne quemada fierros rojo vivo hombre torturaban diera pitazo carga llevaba pista clandestina hicieron desierto federal hallo junto campamento aquella noche pelearon había muertos helicóptero andaba sonando mini abajo cuernos chivo carabinas relampagueban seguido r esa noche carne quemada libertad dieron antes dejara montonal dinero dieron nombres vendieron siempre pelo sopa culebra mafia federales muchos grandes destapan creo sean adivinos encontrar tanta mata muertos aparecieron bala cantina después supo fueron hacían madrina carne quemada seguir rutina,13
Los Tigres Del Norte,Jefe De Jefes,1997,La Paloma,"Aquí cayó la paloma
En la laguna de Nuzco
Porque no pudo bajar
En la pista de Acapulco
Un gavilán federal
Le venía siguiendo el rumbo

Tres toneladas y media
En su interior las llevaba
El plan de vuelo traía
A la unión americana
Pero cayó por Guerrero
Se le cansaron las alas

El gavilán federal
Por radio les avisaba
Que la mentaba paloma
Traía una cola pegada
Pues la siguió desde Chiapas
Ni modo que se escapara

La policía federal
La de caminos y puertos
Todo mundo interesado
Atrapar el cargamento
Unos se llevaron droga
Y otros muy buen ascenso

Por eso es que los carteles
No es una sola familia
Unos con otros se tiran
El dinero causa envidias
Luchan por los territorios
Y se pierden muchas vidas

Por eso es que las traiciones
Por la mafia son cobradas
No piensen que esto es un cuento
Si la gente está enterada
De lo que pasó en Vallarta
Y en las montañas de Iguala",3,True,1990,cayó paloma laguna nuzco pudo bajar pista acapulco gavilán federal venía siguiendo rumbo toneladas media interior llevaba plan vuelo traía unión americana cayó guerrero cansaron alas gavilán federal radio avisaba mentaba paloma traía cola pegada siguió chiapas modo escapara policía federal caminos puertos todo mundo interesado atrapar cargamento unos llevaron droga otros buen ascenso carteles sola familia unos otros tiran dinero causa envidias luchan territorios pierden muchas vidas traiciones mafia son cobradas piensen cuento gente enterada pasó vallarta montañas iguala,13
Los Tigres Del Norte,Jefe De Jefes,1997,Las Novias Del Traficante,"Todo mundo ya conoce
las novias del traficante
aquellas k vuelven loco
y no son buenas amantes
nunca se tientan el alma
y pueden hasta matarte.

tiene muy bonitos nombres
yo se las voy a nombrar
para k se cuiden de ellas
si las llegan a encontrar
voy a darles santo y seña
donde las pueden hallar.

blanca nieves en colombia
marijuana en culiacan
amapola esta en durango
en la sierra la hallaran
y la negra esta en guerrero
y cristal en michoacàn.

cuando muere un traficante
o a la carcel va a parar
las novias no se preocupàn
sabian k eso iba a pasar
porque el k juega con lumbre
con ellas se a de quemar.

las novias del traficante
son muy malas en verdad
el k se mete con ellas
tal vez le puede pesar
porque andan con gente grande
k no saben perdonar.

esto lo digo con clave
muchos pueden entenderlo
y aquellos k no lo entiendan
echen andar el cerebro
pa'k las mentadas novias
no vayan a sorprenderlos.",3,True,1990,todo mundo conoce novias traficante aquellas k vuelven loco son buenas amantes nunca tientan alma pueden matarte tiene bonitos nombres nombrar k cuiden ellas llegan encontrar darles santo seña pueden hallar blanca nieves colombia marijuana culiacan amapola durango sierra hallaran negra guerrero cristal muere traficante carcel parar novias sabian k iba pasar k juega lumbre ellas quemar novias traficante son malas verdad k mete ellas pesar andan gente grande k saben perdonar clave muchos pueden entenderlo aquellos k entiendan echen andar cerebro k mentadas novias vayan sorprenderlos,7
Los Huracanes Del Norte,30 Norteñas Perronas,1997,La Venganza Del Viejito,"Un viejito solitario, fue al estado de Guerrero
Para vengar a sus hijos, fue a contratar pistoleros
Ahí se encontró un compadre, que era el padrino de Pedro

Compadre, supe del caso, que sucedió en el Pitayo
Le mataron a mi ahijado, a José Luis y a Fabián
Tengo 15 pistoleros, pa' lo que quiera mandar

Mis hijos eran valientes, también a varios mataron
Si me ayudas a vengarlos, te doy diez mil centenarios
Yo pa' qué quiero el dinero, si ya no puedo abrazarlos

Uy, Compadre

Mandaron una persona, a los Estados Unidos
En un pueblo de Arizona, compró diez cuernos de chivo
Con 60 cargadores, todos los trajo escondidos

Se fueron para El Pitayo, buscando a los criminales
Les pusieron la emboscada, detrás de unos matorrales
Ahí mataron a doce, solo uno pudo escaparse

Un viejito solitario, ya se ha cobrado sus cuentas
Hoy solo espera la muerte, porque esa siempre es pareja
Ahora vive del recuerdo, en el estado de Texas",3,True,1990,viejito solitario estado guerrero vengar hijos contratar pistoleros encontró compadre era padrino pedro compadre supe caso sucedió pitayo mataron ahijado josé luis fabián tengo pistoleros quiera mandar hijos eran valientes varios mataron ayudas vengarlos doy diez mil centenarios quiero dinero puedo abrazarlos uy compadre mandaron persona estados unidos pueblo arizona compró diez cuernos chivo cargadores todos trajo escondidos fueron pitayo buscando criminales pusieron emboscada detrás unos matorrales mataron doce uno pudo escaparse viejito solitario cobrado cuentas espera muerte esa siempre pareja ahora vive recuerdo estado texas,13
Los Huracanes Del Norte,30 Norteñas Perronas,1997,La Cerveza,"Me gusta andar con amigos
Que les guste la parranda
Esos que no tienen miedo
Cuando salen de su casa
Hoy vamos a emborracharnos
A salud de las ingratas

Por la joven que he perdido
No crean que ando conquistando
Estoy como yo quería
Sigo el codo levantando
Que nos sirvan mas cerveza

Que se esta terminando
Las mujeres dan caricias
La cerveza da valor
Los ojos de mi morena me alegran

El corazón por eso vine
A buscarla para calmar mi dolor
Por donde yo me paseo
Mucha gente me conoce
Yo saco leños del tercio

Yo pago lo que se tome
No me asustan las culebras
Ni los fantasmas de noche
Dicen que yo soy maldito
Pero de eso no hagan caso
Valiente cuando se ocupa
Mas bien soy enamorado
Cuando miro una pollita
De gavilán me disfrazo
Las mujeres dan caricias
La cerveza da valor
Los ojos de mi morena
Me alegran el corazón
Por eso vine a buscarla
Para calmar mi dolor",3,True,1990,gusta andar amigos guste parranda esos tienen miedo salen casa emborracharnos salud ingratas joven perdido crean conquistando estoy quería sigo codo levantando sirvan cerveza terminando mujeres dan caricias cerveza valor ojos morena alegran corazón vine buscarla calmar dolor paseo mucha gente conoce saco leños tercio pago tome asustan culebras fantasmas noche maldito hagan caso valiente ocupa enamorado miro pollita gavilán disfrazo mujeres dan caricias cerveza valor ojos morena alegran corazón vine buscarla calmar dolor,7
Los Huracanes Del Norte,30 Norteñas Perronas,1997,Cruz De Madera,"Cuando al panteón ya me lleven
No quiero llanto de nadie

Sólo que me estén cantando
La canción que más me agrade
El luto llévenlo adentro
Teñido con buena sangre

Este mundo es muy chiquito
Y yo lo anduve rodando

Por eso quiero me lleven
Con una banda tocando
Canten no lloren muchachos
Que yo lo he de estar gozando

Y si al correr de los años
Mi tumba está abandonada

Y aquella cruz de madera
Ya la encuentran destrozada
Remarquen las iniciales
De aquella cruz olvidada

Junten la tierra y no olviden
Que el que muere ya no es nada

Adiós sinceros amigos
Bendiciones de mi madre

Adiós tan lindas mujeres
Adiós hermosos lugares
Adios y brinden señores
Ya terminaron mis males

Y si al correr de los años
Mi tumba está abandonada

Y aquella cruz de madera
Ya la encuentran destrozada
Remarquen las inciales
De aquella cruz olvidada

Junten la tierra y no olviden
Que el que muere ya no es nada",3,True,1990,panteón lleven quiero llanto nadie sólo estén cantando canción agrade luto llévenlo adentro teñido buena sangre mundo chiquito anduve rodando quiero lleven banda tocando canten lloren muchachos gozando correr años tumba abandonada aquella cruz madera encuentran destrozada remarquen iniciales aquella cruz olvidada junten tierra olviden muere nada sinceros amigos bendiciones madre lindas mujeres hermosos lugares adios brinden señores terminaron males correr años tumba abandonada aquella cruz madera encuentran destrozada remarquen inciales aquella cruz olvidada junten tierra olviden muere nada,13
El As De La Sierra,Regalo Caro / Puros Corridos De Pelicula,1998,Venganza Cumplida,"Se ven huellas de un caballo
Sobre la hierva mojada
Y un hombre que lleva prisa
Salio muy de madrugada

El potro apura su paso
Ya cuando el sol se ocultaba
Y atras quedo su ranchito
Con su esposa sepultada

Ahi vivio muy dichoso
Con su querida Maria
Pero una noche llego
Y la encontro mal herida
Y antes de morir le dijo
El nombre de un tal Mejia

Muchos lugares anduvo
Ya la barba le crecia
Y el caballo se cansaba
De caminar noche y dia

En un pueblo de Sonora
Alla encontro al tal Mejia
Y en la ciudad de Obregon
Imploraban por su vida

Cuentan los de la region
Que lo mato cara a cara
Y lo arrastro hasta la tumba
Donde descansa su amada
Luego se interno en la sierra
Ya cumplida su venganza",3,True,1990,ven huellas caballo sobre hierva mojada hombre lleva prisa salio madrugada potro apura sol ocultaba atras quedo ranchito esposa sepultada ahi vivio dichoso querida maria noche llego encontro mal herida antes morir nombre mejia muchos lugares anduvo barba crecia caballo cansaba caminar noche dia pueblo sonora alla encontro mejia ciudad obregon imploraban vida cuentan region mato cara cara arrastro tumba descansa amada luego interno sierra cumplida venganza,0
Los Tucanes De Tijuana,Los Más Buscados,1998,Caballeros Del Camino,"Bien portado el uniforme
Con Garvo y Gallardia
El federal de caminos
Arriesga a diario su vida
Tiene horario de entrada
Mas no sabe el de salida

Una estrella de siete aristas
Lleva muy junto a su pecho
Y con su nombre una placa
Porta de lado derecho
En su cintura una escuadra
Para responder a tiempo

Caballeros del camino
Ese eslogan se han ganado
Por que siempre estan dispuestos
A servir al ciudadano
Gente muy bien preparada
Tambien de muy alto grado

Y un saludo pa' mi compa Camacho y mi compa Benadinez
Y para todos los caballeros del camino primo

Muy alerta en carretera
Y a una gran velocidad
Ya sea de dia o de noche
No importa clima o lugar
Arriesgando su pellejo
Por el bien de los demás

En patrulla blanco y negro
El oficial siempre va
A su pareja alertando
Por lo que pueda pasar
Traen bien grabado en su mente
""Delincuencia Exterminar""

Disciplina bien marcada
Un orgullo de carreteras
Recordamos con cariño
A los en que ellas murieran
Arriba los federales
Policías de adeveras",3,True,1990,portado uniforme garvo gallardia federal caminos arriesga diario vida tiene horario entrada sabe salida estrella siete aristas lleva junto pecho nombre placa porta derecho cintura escuadra responder tiempo caballeros camino eslogan ganado siempre estan dispuestos servir ciudadano gente preparada tambien alto grado saludo compa camacho compa benadinez todos caballeros camino primo alerta carretera gran velocidad dia noche clima lugar arriesgando pellejo demás patrulla blanco negro oficial siempre pareja alertando pueda pasar traen grabado mente delincuencia exterminar disciplina marcada orgullo carreteras recordamos cariño ellas murieran arriba federales policías adeveras,7
Los Tucanes De Tijuana,Los Más Buscados,1998,La Pelo De Ángel,"40 días me bastan
Pa' levantar mi cosecha
Cuando la semilla es fina
Mucho mejor se aprovecha
Por eso cada dos meses
Se cargan las avionetas

Sistema sofisticado
Lo más novedoso en riego
Ese es mi mejor empleado
Que atiende el invernadero
Un kilo de mis plantitas
Te cuesta mucho dinero

Le llaman la Pelo de Ángel
Por cara y por efectiva
Esta no carga cualquiera
Solamente gente fina
Y no es que yo tenga vicio
Pero esta sí me fascina

Yo soy muy ecologista
Por eso cultivo plantas
Me gusta ver cómo crecen
Y cómo verdean las matas
No soy de ningún partido
Pero lo verde me encanta

Han dicho grandes doctores
Que estas plantitas no dañan
Que te relajan los nervios
Y tus tensiones se acaban
También provoca apetito
A la gente desganada

Todo en exceso hace daño
No se les vaya a olvidar
La Pelo de Ángel, señores
Es para jefes nomás
Todo cerebro importante
Debe estar siempre relax",3,True,1990,días bastan levantar cosecha semilla fina mucho aprovecha meses cargan avionetas sistema sofisticado novedoso riego empleado atiende invernadero kilo plantitas cuesta mucho dinero llaman pelo ángel cara efectiva carga cualquiera solamente gente fina tenga vicio fascina ecologista cultivo plantas gusta ver crecen verdean matas ningún partido verde encanta dicho grandes doctores estas plantitas dañan relajan nervios tensiones acaban provoca apetito gente desganada todo exceso daño vaya olvidar pelo ángel señores jefes nomás todo cerebro importante debe siempre relax,7
Grupo Exterminador,Corridos Mix,1998,Los Dos Compas,"Entonces, ¿dónde, y dónde anduviste?
Pues yo fui a Monterrey, compa y me traje 300 kilos de la fina
Ándale
De paso, me pasé a Chihuahua y me traje otros 500 kilos y una vieja
Pues yo anduve en Michoacán y me traje 500 kilos
Eso suena bien
Como quien dice somos más peligrosos que el mentao chupacabras
En otras palabras, somos unas chuchas cuereras
¿Qué le parece el farallón para celebrar nuestros jales?
Vamos entrando, compa

Se oye un conjunto norteño, tocando en una cantina
Cuando llegaron dos compas que mucha feria traían
Y también unas escuadras por si por ahí se ofrecía

Pues vamos a acomodarnos para empezar la parranda
Oiga, amigo cantinero, sírvanos unas heladas
Que el ambiente se ve bueno pa echarnos una bailada

No se me agüite, compita, que ahora vamos a alegrarnos
Y ese, mi exterminador, avienta el nariz de a gramo
Y ahí le va la bolsa, compa, y póngase un pericazo

Páseme la bolsa compa, ya que estamos en ambiente
Oiga, amigo cantinero, sírvale a toda mi gente
De lo que quieran tomar, atiéndalos en caliente

Hay que seguir la parranda hasta que nos amanezca
Pues aquí traemos de todo, por lo que se les ofrezca
Y hay que echarnos otro pase aquí sentaos en la mesa

Ahí nos vemos, camaradas, pa el otro fin de semana
Porque el bíper ta sonando, los güeros quieren más carga
Por ahí nos tamos mirando pa echarnos otras heladas",3,True,1990,entonces dónde dónde anduviste fui monterrey compa traje kilos fina ándale pasé chihuahua traje otros kilos vieja anduve michoacán traje kilos suena somos peligrosos mentao chupacabras otras palabras somos unas chuchas cuereras parece farallón celebrar nuestros jales entrando compa oye conjunto norteño tocando cantina llegaron compas mucha feria traían unas escuadras ofrecía acomodarnos empezar parranda oiga amigo cantinero sírvanos unas heladas ambiente ve bueno echarnos bailada agüite compita ahora alegrarnos exterminador avienta nariz gramo bolsa compa póngase pericazo páseme bolsa compa estamos ambiente oiga amigo cantinero sírvale toda gente quieran tomar atiéndalos caliente seguir parranda amanezca traemos todo ofrezca echarnos otro pase sentaos mesa vemos camaradas otro fin semana bíper ta sonando güeros quieren carga tamos mirando echarnos otras heladas,7
Los Cadetes De Linares,Estoy Pagado,1998,Traficantes,"Amigos voy a contarles
Pero quiero su atención
Estado de Tamaulipas
Y también de Nuevo Leon

Fueron 4 los valientes
y todos de buena ley
Traficaban la canela
De Reynosa a Monterrey

Los fiscales los detienen
Fortunato no hizo alarde
Pero les decía un fiscal
Vayan y vuelan mas tarde

Traficantes y aduanales
Sus pistolas dispararon
Después de la balacera
Muertos y heridos quedaron

El fiscal Amel Rodriguez
Era hombre no muy dejado
Pero al oir los disparos
Corria como venado

Fortunato fue muy hombre
No se le puede negar
Herido les hizo fuego
No se pudo levantar

Fortunato quedo muero
Y muy grave De La Fuente
A orillas de Cadereyta
Antes de llegar al puente

Vuela, vuela palomita
Hasta que puedas llegar
Avisa a Nuevo Laredo
Lo que acaba de pasar",3,True,1990,amigos contarles quiero atención estado tamaulipas nuevo leon fueron valientes todos buena ley traficaban canela reynosa monterrey fiscales detienen fortunato hizo alarde decía fiscal vayan vuelan tarde traficantes aduanales pistolas dispararon después balacera muertos heridos quedaron fiscal amel rodriguez era hombre dejado oir disparos corria venado fortunato hombre negar herido hizo fuego pudo levantar fortunato quedo muero grave fuente orillas cadereyta antes llegar puente vuela vuela palomita puedas llegar avisa nuevo laredo acaba pasar,13
Los Tigres Del Norte,Los Dos Plebes,1998,El Ultimo Atardecer,"Por el rumbo del Zapote
A la vera del camino
Alguien presencio la muerte
De Francisco y Avelino
Uniformes color verde
Portaban los asesinos.

No sé nada dijo Pancho
No finja más oficial
Usted no quería aprenderme
Usted me vino a matar
Voy a guardarle el secreto
Por que soy hombre de fiar.

Amarrados los mataron
Por orden de un oficial
Los espero en el infierno
Les dijo Palma Beltrán

A todos nos llega el turno
Y a ustedes le llegara
Ajusten muy bien sus cuentas
Ahí se las van a cobrar.

El domingo trece negro
Casi para obscurecer
A La Noria llego un parte
De una noticia muy cruel
De Avelino y Pancho Palma
Fue el ultimo atardecer.

No hay remiendo para el cuero
Dijo un cuervo en su cantar
Fueron Pancho y Avelino
Ejemplo de la amistad
De estos hombres ya no nacen
Ni plantándolos se dan.

Amarrados los mataron
Por orden de un oficial
Los espero en el infierno
Les dijo Palma Beltrán

A todos nos llega el turno
Y a ustedes le llegara
Ajusten muy bien sus cuentas
Ahí se las van a cobrar.",3,True,1990,rumbo zapote vera camino alguien presencio muerte francisco avelino uniformes color verde portaban asesinos nada pancho finja oficial usted quería aprenderme usted vino matar guardarle secreto hombre fiar amarrados mataron orden oficial espero infierno palma beltrán todos llega turno ustedes llegara ajusten cuentas cobrar domingo trece negro casi obscurecer noria llego parte noticia cruel avelino pancho palma ultimo atardecer remiendo cuero cuervo cantar fueron pancho avelino ejemplo amistad estos hombres nacen plantándolos dan amarrados mataron orden oficial espero infierno palma beltrán todos llega turno ustedes llegara ajusten cuentas cobrar,14
