artist,album,year,song,lyrics,es_narco_fuerte,subgenero_ia,conteo_narco,decada
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,Bayo Cara Blanca,"Pepito tenía un caballo
Que nomás él lo montaba
Era un bayo cara blanca
De siete cuartas de alzada
Ay, qué rechulo animal
Nomás hablar le faltaba

José quería aquel caballo
Como a su Dios lo adoraba
Todos los días muy temprano
Lo bañaba y lo ensillaba
Y el bayo de puro gusto
Se paraba y relinchaba

De La Arena hasta Terán
Jamás perdió una carrera
Ah, qué rechulo animal
Corría como una fiera
Del Provenir a San Juan
Dejo gente en la miseria

Pero el destino es muy cruel
Y no hay quien se le resista
Y quiso que aquel corcel
Un día perderá la vista
Ya nunca volvió a correr
Ni en el llano ni en la pista

Pa quitarlo de sufrir
José le dio tres balazos
Así le toco morir
A aquel que en la vida era un rayo
De la historia este es el fin
De Pepito y su caballo",True,6,4,1970
Chelo,La Voz Ranchera,1976,Dos Gallinas Finas,"Dos mujeres pelearon, pelearon
el amor del hombre que tanto adoraban,
con su sangre la tierra regaron
al darse la muerte de dos puñaladas

Concha le dijo a Enriqueta,
fíjate donde te metes
no por andar de coqueta,
un día tu me comprometas
de ese hombre soy su querida,
y mi honor se me respeta

Enriqueta contestó,
soy más fuerte y decidida
llevamos la misma sangre,
hermanita de mi vida
pero el cariño de ese hombre
lo defiendo con mi vida

Las dos sacaron puñales
ya andaban aprevenidas
sabían que ya eran rivales
y del mismo hombre queridas
valientes eran de sangre
eran dos gallinas finas.",True,12,4,1970
Ramon Ayala y sus Bravos Del Norte,No Vengas A Rogarme,1977,Los Hermanos Bedolla,"Aquí les traigo el corrido
De la hacienda de La Joya
Voy a cantar la tragedia
De los hermanos Bedolla

Andando los dos tomando
Efrén le dice a Vicente
""Me gusta mucho tu esposa
Y aunque lo sepa la gente""

Vicente le contestó
""A Cristina no la nombres
Que por algo que se quiere
Siempre se matan los hombres""

Pero Efrén vuelve a insistirle
No quería que te enteraras
Porque Cristina fue mía
Antes de que se casaran

Vicente sacó su escuadra
Diciendo, aquí está tu amada
Acribillándolo a tiros
Allá por la madrugada

Cuando Efrén cayó al suelo
También le disparó a tiempo
Muriendo así por Cristina
Los hermanos al momento

Vuelen, zinzontles norteños
Y llévense este corrido
Se mataron dos hermanos
Acribillándose a tiros",True,5,4,1970
Vicente Fernández,Ni En Defensa Propia,1970,Caballo Golondrino,"Tenia fama de pelao
Siempre anda bien armado
Ese Maclovio Natera

Era revolucionario
Quería mucho a su caballo
Y le gustaba dar guerra

Su caballo era muy fino
Se llamaba Golondrino
Dosalbo y muy pajarero

Conocía bien el peligro
Se paraba en dos patitas
Si venteaba al enemigo

Al caballo como al hombre
El amor lo trae herido
Brinco el pesebre esa noche
Dejando a su amo dormido

Cuando volvió el nuevo día
Hallo a Maclovio tirado
Los rivales que tenía
Ya lo habían medio matado

...Y como decía Maclovio
¡Arriba La Revolución Hijos
De Pancho Villa!

Cuando Maclovio moría
Debajo de su caballo
Se quejaba y se reía

Su caballo relinchaba
Con las patas lo meneaba
Quería volverlo a la vida
Cuando el caballo venteo
Que estaba muerto de veras
Sin detenerse corrió
Internándose en la sierra
Los del pueblo lo buscaron
Sin encontrarlo ya nunca
El caballo Golondrino
Siguió a Maclovio a su tumba",True,6,3,1970
Vicente Fernandez,Canciones De Las Películas De Vicente Fernandez,1978,El Arracadas,"Como la sombra de un fantasma por las noches
Cruzando montes, barrancos, y poblados
Va un hombre triste montado en su caballo
Su perro lo acompaña rastreando los sembrados

Todos se dicen por ahí viene el Arracada
Lleva patillas, chamarra de vaquero
Tejana negra y pantalón de cuero, con mirada tranquila
Buscando a algún cuatrero

'Voy a cumplir un juramento que es sagrado'
Cuando salió de su jacal, dijo a su madre
Voy a buscar a aquel traidor que allá en la loma
Cobardemente y sin piedad mató a mi padre

Unos rumores de plegaria se escucharon
Cuando una madre por su hijo pide al cielo
Luego un caballo se aleja relinchando
Y allá por la barranca sus pasos se perdieron

Y aquel traidor a quien buscaba el Arracada
Lo hallaron muerto colgado en un potrero
Mientras otro hombre, su perro y su caballo
Nunca jamás se han visto, perdió su paradero

Allá en lo obscuro de un jacal se oye un sollozo
Es de una madre que se encuentra abandonada
Le llora a un hombre que le escucha desde el cielo
Y a un hijo ausente del que no se sabe nada
Y a un hijo ausente del que no se sabe nada",True,6,3,1970
Vicente Fernandez,El Gallo Negro,1978,El Gallo Negro,"Ya se cuenta por ahí que soy gallo de Saltillo
Porque hasta le he ganado al famoso gallo giro
Otros dicen por ahí que soy gallo afamado
Porque hasta le he ganado al gallito colorado

Soy del monte, soy del rancho no soy rico pero tampoco pobre
Y me juego hasta la vida por defender mi nombre
Me dicen el gallo negro porque me gusta pelear
Pero a nadie juego sucio, ni a nadie vengo a buscar

Ya se dice por ahí que soy un gallo distinto
Jugador y enamorado y que para cantar me pinto
Otros dicen por ahí que soy gallito bravío
Es muy cierto lo que dicen pero defiendo lo mio

Soy del monte, soy del rancho no soy rico pero tampoco pobre
Y me juego hasta la vida por defender mi nombre
Me dicen el gallo negro porque me gusta pelear
Echenme al patas chorreadas o al prieto águila real",True,0,3,1970
Carlos Y Jose,Maria De Jesus,1978,Corrido De La Chicharra,"Voy a entonar unos versos
Al compás de mi guitarra
Es la historia de un amigo
Pedro montes ""la chicharra""
Cuentan que temblaba el monte
Cuando a caballo montaba
Nativo de nuevo león
Bautizado en San Fernando
Era amigo de Ataleo
De Agapito y de su hermano
A toda la gente pobre
Siempre le daba la mano
De Victoria hasta Linares
Pedro ya estaba ensortado
Ya todos los ganaderos
Ya vivían azorados
Sabían que andando a caballo
Portaba cualquier ganado
En el rancho Casas Grandes
Lo quisieron agarrar
Le tendieron una trampa
Cuando iba a entrar a un corral
A caballo rajo el monte
Y a San Carlos fue a parar
Pero su destino un día
Lo ha traicionado a la mala
Se mato con su caballo
Cuando huía de una emboscada
Así termino su vida
Pedro montes ""la chicharra""
Adiós ley de Tamaulipas
Y la ley de nuevo león
Nunca se les concedió
Me llevaran a prisión
Llevaran mi nombre escrito
Y una cruz en el panteón",True,6,3,1970
Antonio Aguilar,Cantos De Mi Tierra 	    ,1972,La Martina,"¡Aya!
La Martina
¡Uah!

Quince años tenía Martina
Cuando su amor me entregó
A los 16 cumplidos
Una traición me jugó

Estaban en la conquista
Cuando el marido llegó
¿Qué estás haciendo, Martina
Que no estás en tu color?

Aquí me he estado sentada
No me he podido dormir
Si me tienes desconfianza
No te separes de mí

¿De quién es esa pistola?
¿De quién es ese reloj?
¿De quién es ese caballo
Que en mi corral relinchó?

Ese caballo es muy tuyo
Tu papá te lo mandó
Pa' que jueras a la boda
De tu hermana, la menor

Ay, ¡pobre Martina!, parecía parecía pan de cera
'Taba verde limón, le cayeron con las manos en la masa
¡Ay!

¿Yo pa' qué quero caballos
Si caballos tengo yo?
Lo que quero es que me digas
¿Quién, en mi cama, durmió?

En tu cama naiden duerme
Cuando tú no estás aquí
Si me tienes desconfianza
No te separes de mí

Y la tomó de la mano
A sus papás la llevó
Suegros, aquí está Martina
Que una traición me jugó

Llévatela tú, mi yerno
La Iglesia te la entregó
Y, si ella te ha traicionado
La culpa no tengo yo

Ah-ah-ah, la criaron mañosa
Salió mañosa, cuatrera, alborotadora
Po're, po're viejo

Hincadita de rodillas
Nomás seis tiros le dio
El amigo del caballo
Ni por la silla volvió",True,6,3,1970
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,Juan De La Fuente,"San Francisco se llama el poblado
Mi corrido es de allá exactamente
A mediados de abril se mataron
Luis Hernández y Juan De La Fuente

Luis se andaba raptando a Susana
La mujer más bonita del pueblo
Ella solo a su Juan adoraba
Sin querer fue la causa del duelo

Juan llego para ver a su amada
En aquellos precisos momentos
Reclamo a Luis la vil canallada
Diez minutos después era muerto

Se agarraron del cuello uno al otro
Se abrazaron, cayeron al suelo
En aquel callejos pedregoso
Se clavaron las dagas de acero

Juan traía su pistola fajada
Su cuchillo de acero y navaja
Como Luis no traía más que daga
Juan no quiso pelear con ventaja

De recuerdo hay dos cruces de encino
Y una novia bonita que llora
San Francisco volvió a ser testigo
De un amante con muchas historias",True,5,3,1970
Ramon Ayala,Mujer Paseada,1976,Daniel Del Fierro,"Año del 69 yo quisiera recordarles
Que ha muerto Daniel del Fierro
La tragedia he de cantarles
Cayó en terrible emboscada de unos falsos aduanales

En un pueblito del norte de tierras tamaulipecas
Fue acribillado a balazos cuando iba en su camioneta
Hiriendo a Herón y Ricardo con balas de metralletas

Ese rancho de la piedra lugar que los vio nacer
Le han aumentado los muertos y una tumba más con él
De una cruz acompañado ha recibido Daniel

Termina la dinastía, sus rivales han querido
Y los hermanos del Fierro a balazos han caído
La forma en que ellos murieron jamás pasará al olvido

Con rumbo hacia Matamoros, vuela paloma norteña
Anda a avisarles a todos, también al rancho la piedra
Que ha muerto Daniel del Fierro ya les cante su tragedia",True,12,3,1970
Ramon Ayala,Mujer Paseada,1976,Once Tumbas,"Fronteras Tamaulipecas
como olvidar tu recuerdo
si en tus pueblos han matado
a los hermanos del Fierro
y a todos han traicionado
porque les tenian miedo

En 1930
en ese rancho la Piedra
le dieron muerte al primero
Rolando asi se llamaba
y el año del treinta cuatro
asesinaron a Blanca

Hector el cuarenta y ocho
y Eleazar en el cincuenta
cincuenta y dos Baldomero
lo mataron en Reynosa
y Ema en el cincuenta y cuatro
sigue aumentando la cuenta

Bernardo el cincuenta y cinco
Daniel el sesenta y nueve
Eron murio en Valle Hermoso
el 28 de diciembre
Reynaldo el setenta y uno
en una emboscada muere

A Gilberto le tumbaron
un brazo en Cd. Reynosa
pero no lo remataron
tenian miedo a su presencia
y al final vino muriendo
por la misma consecuencia

Hoy se convierte en leyenda
la dinastia de la muerte
hay un panteon que es testigo
en la frontera del norte
once cruces, once tumbas
y en cada tumba un valiente",True,12,3,1970
Luis Y Julian,Lágrimas Lloro,1978,La Tragedia De Rosita,"A las orillas del rio lavaba ropa rosita
ni el trabajo ni el astillo marchitaban su carita
de todo aquel cacerio ella era la mas bonita

los campesinos cantaban cuando la veian benir
y su amor se disputaba por ella podian morir
todos ellos adoraban aquella rosa de abril

el tiempo asi transcurria cuando renacen las rosas
pero aquel tragico dia cambiaron mucho las cosas
la tragedia es compañia de las mujeres hermosas

aquel dia amanecio nublado en el firmamento
rosita al rio bajo llevando su cargamento
un hombre se le acerco trayendo mal pensamiento

rosita del alma mia le decia aquel ranchero
como e esperado este dia pa decirte que te quiero
ahora tienes que ser mia o en el intento me muero

debajo de aquel encino que en ese lugar crecio
aquel torbo campesino de rosita se burlo
luego la hecho al remolino y el rio se la llevo",True,12,2,1970
Pedrito Fernandez,La De La Mochila Azul,1978,El Oreja Rajada,"De alla de un rancho escondido
Salio de entre una manada
Un potrillo colorado con el fierro de calazada
Quedando de buen tamaño
Llamado oreja rajada

Era caballo corriente pero si le pataleaba
Corrio con otros caballos
Tambien se las espantaba
Pero ya en docientas varas
El oreja los blanqueaba

De pronto surgio una yegua
De aya de la rancheria
Pusieron un corto plaso y señalaron el dia
Se arreglaron en billetes
Con lo que se jugaria

Llego la fecha esperada
El dia que se señalo
Juntos en el partidero
El banderaso se dio
Pero al llegar al cabresto la yegua
Atras se quedo

Mauro el dueño de la yegua
Con la duda se quedo
Treparon muy bien su yegua
Y trajo buen corredo
Para jugarle a laoreja
Y quitarle lo correlon

Por segunda vez partieron
Buscando el triunfo yegaron

En el cabresto señores
Los velores le empataron
Dicen que gano el oreja
Pero que se la robaron",True,6,2,1970
Antonio Aguilar,Corridos De Caballos Famosos,1972,El Caballo Blanco,"Este es el corrido del caballo blanco
Que en un día domingo feliz arrancara
Iba con la mira de llegar al norte
Habiendo salido de Guadalajara

Su noble jinete, le quito la rienda
Le quito la silla y se fue a puro pelo
Cruzo como rayo, tierras Nayaritas
Entre cerros verdes, y el azul del cielo

A paso más lento, llego hasta Escuinapa
Y por Culiacán, ya se andaba quedando
Dicen que cojeaba de la pata izquierda
Que llevaba todo el hocico sangrando

Pero lo miraron pasar por Sonora
Y el Valle del Yaqui le dio su ternura
Cuentan que cojeaba, de la pata izquierda
Y a pesar de todo, siguió su aventura

Llego hasta Hermosillo, siguió pa Caborca
Y por Mexicali sintió que moría
Subió paso a paso, por la Rumorosa
Llegando a Tijuana, con la luz del día

Cumplida su hazaña, se fue a Rosarito
Y no quiso echarse hasta ver Ensenada
Y este fue el corrido del Caballo Blanco
Que salió un domingo de Guadalajara",True,5,2,1970
