artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Chino Pacas,GTO,2025,"Del barrio soy, saben que yo nunca me tiento el pinche corazón",,,,,,
Los Tucanes De Tijuana,El Postre,1998,O sea de arriba no mas escucho la banda,,,,,,
Tino El Pingüino,Época,2018,"Joder, no pueden comprar el nivel",,,,,,
7 Notas 7 Colores,Mala Gente Con Más,2000,La gente te jode por el culo en cuanto se les presenta la ocasión.,,,,,,
Beto Quintanilla,Omar Gonzalez,2000,El señor Omar González es un amigo sincero,,,,,,
Antonio Aguilar,Justicia A Villa,2003,"Toda su gente, la viva y la muerte",,,,,,
Carlos Y Jose,El Tres Dedos,2014,Aunque decía mucha gente,,,,,,
Calibre 50,Barquillero,2021,"La banda tocaba recio, eran las fiestas del pueblo",,,,,,
Los Huracanes Del Norte,El Chipilon,1998,"Fue comandante, en Tijuana",,,,,,
Tino El Pingüino,Época,2018,"Ay mami, eso es de gente torpe",,,,,,
Los Tucanes De Tijuana,El Diamante Negro,2007,eminencia de la banda,,,,,,
Los Huracanes Del Norte,Carga Ladeada,1988,"Ahí murió Juan El Grande, pero defendió su gente",,,,,,
Los Tigres Del Norte,Muerte Anunciada,2007,Decía la gente llorando,,,,,,
Dharius,Por Allá Los Washo ,2014,Y como toda mi bandera es pura banda bien chingona,,,,,,
Kartel De Las Calles,Las Calles Me Llaman,2006,"Vivir día por día, a mi barrio le era fiel",,,,,,
Natanael Cano,Lio,2022,Y no soy humilde porque la gente no quiere ver,,,,,,
Millonario & W. Corona,Mas Flow Mas Cash,2012,"Tengo un cuete y una banda loca, partiendo la piña pa' ver, de a cómo nos toca",,,,,,
Millonario,Gracias,2015,Mi jefe esta bien chulo,,,,,,
Tino El Pingüino,Me Paso de V**** (Mis Armas Secretas),2013,"Cáele sin pedos. Sólo dime a cuanta gente traes, ok",,,,,,
Los Cadetes de Linares,Polvo Maldito,1980,Mando sin saber a su hijo,,,,,,
Los Tucanes De Tijuana,Gonzalo Inzunza,2014,Y también gente de La Morelos,,,,,,
