artist,song,decada,etiqueta_codigo,etiqueta_humana,lyrics
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,1980,True,,"Eran cuatro de a caballo
De aquel real del Mapimí
Huyendo de la cordada
Se escondieron por ahí
Pancho era de aquellos cuatro
El más feroz y sanguinario
Pues una vez, mató a un cura
Cuando resaba a un rosario
Y Mariano por su gusto
Cuántos pueblos incendió
Y para estar más contento
Los trenes descarriló
Eran cuatro de a caballo
De aquel real del Mapimí
Y como eran muy felones
Se escondieron por ahí
A Guillermo le gustaba
El robarse a las doncellas
Ofreciéndoles la gloria
Con la luna y las estrellas
Y nos faltaba Felipe
Un bandido muy sagaz
Que soñaba con el golpe
Robarse la catedral
Eran cuatro de a caballo
De aquel real del Mapimí
Huyendo de la cordada
Se escondieron por ahí
Mariano, allá viene el tren
Lo vas a descarrilar
Francisco, deja a ese cura
No lo vayas a matar
Ten compasión, ya Guillermo
De esa joven virginal
¿Dónde la escondes, Felipe
Si te robas catedral?
Ese es puro Papirín Durango
Hey, ahí está el Ojuela, también
Eran cuatro de a caballo
De aquel real del Mapimí
Dios los haya perdonado
Pues los mataron ahí"
Los Cadetes De Linares,Por Una Rencilla Vieja,1980,True,,"Por una rencilla vieja
Se agarraron a balazos
Las nietas de Camarena
Y las nietas de Cabazos

Quién se lo iba a imaginar
Que las cosas revivieran
Si ya estaban olvidadas
Qué desgracia que volvieran

Fue por el año 28
Cabazos era cristero
Y el general Camarena
Era el brazo del gobierno

Cuando la guerra acabó
Cabazos bajó del cerro
Lo ven, adiós Camarena
Lo tiró a un basurero

Cuando el rencor no se acaba
Las venganzas son muy crueles
Se acabaron las familias
Morían hombres y mujeres

Así pasaron los años
Sólo quedaban las nietas
Los contados frente a frente
Peleándose en una fiesta

Cuarenta años de amargura
Estallaron como un cohete
Los novios no lo creían
Le dieron cita a la muerte

Recordando a los abuelos
Alguien les contó la historia
A sus novias adoradas
Las mandaron a la gloria"
Los Cadetes De Linares,Eran Cuatro De A Caballo,1980,True,,"Eran cuatro de a caballo
De aquel real del matimil
Huyendo de la cordada
Se escondieron por allí

Pancho era de aquellos cuatro
El más cruel y sanguinario
Pues una ves mato a un cura
Cuando rezaba un rosario

Y mariano por su gusto
Cuántos pueblos incendió
Y para estar más contento
Los trenes derredescarriló

Eran cuatro de a caballo
De aquel real del matimil
Y como eran muy felones
Se escondieron por allí

A guillermo le gustaba
El robarse a las donsellas
Ofreciéndoles la gloria
Con la luna y las estrellas

Y nos faltaba felipe
Un bandido muy sagaz
Que soñaba con el golpe
Robarse la catedral

Eran cuatro de a caballo
De aquel real del matimil
Huyendo de la cordada
Se escondieron por allí

Mariano allá viene el tren
Los vas a descarilar
Francisco deja ese cura
No lo vallas a matar

Ten compasión ya Guillermo
De esa joven viginad
¿Dónde la escondes Felipe
Si te robas catedral?

Eran cuatro de a caballo
De aquel real del matimil
Dios los haya perdonado
Pues los mataron allí"
Los Cadetes de Linares,Eleazar Del Fierro,1980,True,,"1950, el mes de agosto corría
Ya murió Eleazar Del Fierro, lo mató la policía
Vinieron de Matamoros, a quererlo desarmar
Eleazar ya maliciaba, que lo querían matar

Eleazar ya había dicho, antes de hacerse la bola
Primero me mataran, que quitarme mi pistola
Juan Osuna se llamaba, aquel que en tal mala hora
A balazos lo mató, con una ametralladora

Eleazar al verse herido, se rió de lo que habían hecho
Cobardes, así son hombres, habían de entrar por derecho
Juan sabía que por derecho, no le podían hacer fuego
Porque Eleazar era un hombre, que no conocía el miedo

Después de la balacera, de aquella hora tan atroz
Ya su alma fue a descansar con la justicia de Dios
Águila real que volaste, no te canses de volar
Anda a avisar a ""La Piedra"", que mataron a Eleazar"
Los Cadetes de Linares,Dimas De Leon,1980,True,,"Un día 10 de Septiembre, de un domingo que paso,
En el puerto Matamoros, un velador lo mato

Dimas salió de Reynosa, en su carro preparado,
A visitar a su amante, así lo tenía pensado

Dimas y dos compañeros, en un cabaret tomaban
Como le tenían miedo, ya todos se preparaban

El velador temeroso, de que Dimas lo matara
Mando llamar los empleados, para que lo desarmaran

Primero Adán y El Cantú, la pistola le quitaron
Y también a Cayetano, que en le carro lo encontraron

A Dimas lo detuvieron, cuando este iba a intervenir
Por la espalda le pegaron, no lo dejaron salir

De pronto Miguel Balderas, su pistola disparo,
De dos balazos certeros, el cráneo le atravesó

Adiós Reynosa querido, orgullo de la frontera,
Donde Dimas se paseaba, con su pistola por fuera

Ya con esta ahí me despido, señores de esta región
Aquí termina el corrido, ya murió Dimas De León"
Los Huracanes Del Norte,El Gato Negro,1980,True,,"A mi me llaman, el gato negro
Todas las leyes, me buscan ya
Soy peligroso, según lo dicen
Un desalmado, y un criminal

Desde muy chico, me eche a los vicios
Todo lo malo, conozco yo
Conozco todos, los traficantes
Y criminales, de la región

Desde la sierra, allá en Chihuahua
Con carga blanca, viajaba yo
Y entre las barbas, de los sheriffes
Cruzaba aduanas, de migración

Cargas enteras, de hierba buena
Lleve a Chicago, y a Nueva York
Y varias veces, por mala suerte
Caí en las celdas, de la prisión

Allá en Laredo, en una emboscada
Con los sheriffes, me la rife
Me fui por Allice, tirando al norte
Ni de la muerte, yo me acorde

Por San Antonio, pase de noche
Llegando a Houston, no se porque
Los patrulleros, tenían aviso
Y del corral, me les escape

Terrible cárcel, de Kansas City
Famosa cárcel, de San Quintín
De San Antonio, su cárcel nueva
Del quinto piso, me les salí

El gato negro, no se despide
Desaparece, de la región
Cuando me miren, todo de negro
Y ojos borrados, ese soy yo"
Los Huracanes Del Norte,Clave 7,1980,True,,"En el reten de la loma, estaban 100 federales,
Preguntando por Pedrito, también por Paulino Burgos
Pero andaban despistados, le preguntaban a un mudo

Clave 7 es la consigna, de agentes y de soldados,
Ese león ya crío melena, van a tener que matarlo,
Nomás no se arriesguen mucho,
Primero hay que traicionarlo

En la ciudad de Hermosillo, hubo una concentración
También pusieron retenes, por todita la nación
Lo cierto es que los transportes, Pedrito los regalo

Le mandaron 2 agentes, que le pidieran dinero,
Veinte millones de pesos, era el precio de su cuero
Pero como era camuco, lo tomaron prisionero

Junto con dos compañeros, además dos señoritas
Los llevaron a la Y griega, era la ultima cita
Ahí los acribillaron, junto con más jovencitas

Desde ese día inolvidable, no rola tanto dinero,
Y unos agentes traidores, ahora estrenan carro nuevo,
Y un hombre en Guadalajara, no duerme de puro miedo

Adiós señor comandante, aquí lo llevo en mi lista
Usted me echo por delante, ahí lo espero en la revista
Ya que tumbo mi panal, ahora toree las avispas

Mis armas no las entrego, van a quedar en el cerro,
Yo no me fio de esa gente, que la deslumbra el dinero,
Ya murió el león de la sierra, venga a quitarle el cuero

Adiós todos mis amigos, del valle de Culiacán,
Ninguna ley del gobierno, mi nombre podrá cambiar
Me llamo Pedro Aviles, no se les vaya a olvidar"
Los Invasores De Nuevo Leon,Rafael Caro Quintero,1980,True,,"En San José, Costa Rica
Lo tomaron prisionero
Ya se extendió la noticia
Por todito el mundo entero
Así el corrido comienza
Del señor Caro Quintero

Diez agentes federales
Le formaron la custodia
Por ser un gallo muy fino
Nacido allá en Sinaloa
De esos no nacen a diario
Y el que nace no se logra

Por matar un policía
Del gobierno americano
Robarse una tapatía
Hoy se encuentra procesado
El león es rey de las fieras
Aunque se encuentre enjaulado

Dicen que quieren juzgarlo
Los gringos allá en sus lares
Nada más para llevarlo
Las manos van a sudarles
Se me hace que van a hacerle
Lo que el aire le hizo a Juárez

Rafael Caro Quintero
Ya está en su patria otra vez
Si creen que ya lo han medido
De la cabeza a los pies
Pa que lo quieren los gringos
Si este no canta en inglés

La fiera ya está enjaulada
Pero se oyen los rugidos
Allá por la madrugada
Sus deseos serán cumplidos
Échense a huir la manada
Si es que quieren quedar vivos"
Los Invasores De Nuevo Leon,Jesus Martinez,1980,True,,"Con el permiso de ustedes
señores,
voy a cantarle un corrido
a un amigo,
que en un fatal accidente
un valiente,
se le acorto su camino

en flamante camioneta
viajaba,
junto con su esposa amada
esperaba,
que diera luz a una niña
muy linda,
que el ya no alcanzo a mirarla

Jesus Martinez Revilla se ha muerto
llegando a Cd. Victoria
y su historia,
termino en mal momento
les cuento,
su afanosa trayectoria

general de mil batallas
sin falla,
casi desde que era un niño
en camino,
su pesado contrabando
llevando
por rumbos desconocidos

de Culiacan, Sinaloa a Nogales
siempre arriesgando su vida
vivia,
burlando los federales
Revilla,
sabra Dios Ios como le haria

Jesus Martinez Revilla se ha muerto
llegando a Cd. Victoria
y su historia,
termino en mal momento
les cuento,
su afanosa trayectoria"
Los Tigres Del Norte,Contrabando Y Traicion,1980,True,,"Salieron de San Isidro
Procedentes de Tijuana
Traían las llantas del carro
Repletas
De hierba mala

Eran Emilio Varela
Y Camelia
La texana

Pasaron por San Clemente
Los paro la emigración
Les pidió sus documentos
Les dijo
""¿De dónde son?""

Ella era de San Antonio
Una hembra
De corazón

Una hembra si quiere un hombre
Por él puede dar la vida
Pero hay que tener cuidado
Si esa hembra
Se siente herida

La traición y el contrabando
Son cosas
Incompartidas

A Los Ángeles llegaron
A Hollywood se pasaron
En un callejón oscuro
Las cuatro
Llantas cambiaron

Ahí entregaron la hierba
Y ahí también
Les pagaron

Emilio dice a Camelia
""Hoy te das por despedida
Con la parte que te toca
Tú puedes
Rehacer tu vida

Yo me voy pa San Francisco
Con la dueña
De mi vida""

Sonaron siete balazos
Camelia a Emilio mataba
La policía solo hallo
Una pistola tirada

Del dinero y de Camelia
Nunca más
Se supo nada"
Luis Y Julián,Asesino a Sueldo,1980,True,,"Usted dirá General, pa los trompos, son las cuerdas
Se que me mando llamar, pa liquidarle unas cuentas,
Usted paga por matar, y yo le cobro las deudas

Me estorba Liborio Cano, y también José Perales,
Uno lo encuentras en Bravo, y el otro vive en Linares,
De ahí te vas a Cerralvo, a matar a Carrizales

Los quiere a la luz del día, o con mucha discreción,
Será como usted lo diga, si prefiere la traición
Siendo una suma crecida, no importa la situación

Liborio andaba en el campo, levantando, su cosecha,
Cuando llego el pistolero, montado en su camioneta,
Y luego, luego se oyeron, 10 tiros de metralleta

En la calle principal, de la ciudad de Linares,
La gente vio agonizar, también a José Perales
Nada mas uno faltaba, el llamado Carrizales

Vengo a matar a tú padre, así dijo el gatillero
El niño no era cobarde, y le madruga primero,
Lo acribillo con un máuser, y 5 balas de acero"
Pedro Infante,Nacho Bernal,1980,True,,"Aah-ja-ja
¡Ahí viene Nacho Bernal!

Caramba yo soy tu rey
Mi caballo es el segundo
Ahora se hacen a mi ley
O los aparto del mundo

Yo no sé ni dónde iré
Ni cuál será mi destino
Me anda buscando la ley
Por toditos los caminos

Aah-ja-ja
¡Ahí anda Nacho Bernal!

Yo soy Ignacio Bernal
Que me piden vivo o muerto
Me andan queriendo asustar
Con el petate del muerto

Si el día se me ha de llegar
Así será mi destino
Y nunca Ignacio Bernal
Necesitó de padrino

¡Cuídate Nacho!
Aah-ja-ay

Cuando a la plaza llegó
Se amotinaba la gente
Gritando viva Bernal
Los hombres que son valientes

Alguien le corrió a avisar
""Bernal, ahí viene la tropa""
Aquí los voy a esperar
A ver de a cómo nos toca

Aah-ja-jay
¡Pobre Bernal, no se cuidó!

Cuando el gobierno llegó
Se le fueron como rayo
Matando a Ignacio Bernal
Y también a su caballo"
Antonio Aguilar,Juan Charrasqueado,1990,True,,"Voy a cantarles un corrido muy mentado
Lo que ha pasado allí en la hacienda de la flor
La triste historia de un ranchero enamorado
Que fue borracho, parrandero y jugador

Juan se llamaba y lo apodaban ""Charrasqueado""
Era valiente y arriesgado en el amor
A las mujeres más bonitas se llevaba
En esos campos, no quedaba ni una flor

Un día domingo que se andaba emborrachando
A la cantina le corrieron a avisar
Cuídate, Juan, que ya por ahí te andan buscando
Son muchos hombres, no te vayan a matar

No tuvo tiempo de montar en su caballo
Pistola en mano, se le echaron de a montón
""Estoy borracho"", les gritaba, ""y soy buen gallo""
Cuando una bala atravesó su corazón

Creció la milpa con la lluvia en el potrero
Y las palomas van volando al pedregal
Bonitos toros llevan hoy al coleadero
Qué buen caballo va montando el caporal

Ya las campanas del santuario están doblando
Todos los fieles se dirigen a rezar
Y, por el cerro, los rancheros van bajando
A un hombre muerto que lo llevan a enterrar

En una choza muy humilde llora un niño
Y las mujeres se aconsejan y se van
Pero, su madre lo consuela con cariño
Mirando al cielo, llora y reza por su Juan

Aquí termino de cantar este corrido
De Juan Ranchero ""Charrasqueado"", El Burlador
Que se creyó, de las mujeres, consentido
Que fue borracho, parrandero y jugador"
Antonio Aguilar,Corrido De Arnulfo Gonzalez,1990,True,,"De Allende se despido, con 21 años cabales,
Gratos recuerdos dejo, al pueblo y a los rurales,

Estaba Arnulfo sentado, en eso pasa un rural,
Le dice ""Oiga, ¿Qué me ve?,"", la vista es muy natural

El rural muy ofendido, en la cara le pego,
Con la pistola en la mano, con la muerte lo amago

Se agarraron a balazos, se agarraron frente a frente,
Arnulfo con su pistola, 3 tiros le dio al teniente

El teniente malherido, casi para agonizar,
Le dice: ""Oiga, no se vaya, acábeme de matar""

Arnulfo se devolvió, para darle un tiro en la frente,
Pero en la vuelta que dio, ahí le pego el teniente

Que bonitos son los hombres, que se matan pecho a pecho,
Cada uno con su pistola defendiendo, sus derechos

El teniente era hombrecito, las pruebas las había dado,
Pero se encontró a un gallito, que ese no estaba jugado

Arnulfo muy malherido, en un carro iba sangrando,
Cuando llego al hospital, Arnulfo iba agonizando

Ya con esta me despido, pacíficos y rurales
Aquí termina el corrido del teniente y de González"
Chalino Sánchez,El Corrido Del Quitillo,1990,True,,"En un reten de ladrones en ese cayo un amigo,
si quieren saber su nombre a horita
yo se los digo Andrés González Quiroz
y le apodan el quintillo.

Tenían muchos detenidos, en el suelo panza abajo
quintillo venia solo no lo acompañaba el sapo.
Querían dinero y alajas y lo que hubo fue balazos.

La pistola venia oculta en la troca en que viajaba
le bajaron 2 millones la esclava venia sellada
querían mocharle la mano pa ver si así la entregaba.

No boy a perder la mano me sirve más que esta joya
a debajo del asiento se encontraba la pistola
Pensó el quintillo al tentarla se va poner fea la bola.

Eran 3 los asaltantes y alcanzo a tumbar a 2
pero el otro que faltaba 3 tiros le disparo,
pero al echarse a la fuga desde el suelo lo tumbo herido
como se hallaba se monto a su camioneta con rumbo
Asia Culiacán para ver si se salvaba al llegar a la cruz roja
la vista se le nublaba.

Pongan cuidado señores por esos caminos reales con
los retenes fantasmas como el que cayó Gonzáles
por que eran 3 animañas la cárcel no fue a pisarles."
Grupo Exterminador,El Jefe de la Mafia,1990,True,,"(¡Toma, toma!)
(Dime, rata pulguienta)
(Dime la neta, ¿tú me pusiste el dedo?)
(Yo, yo, yo no fui)
(¿Entonces quién fue?)
(Fue tete, ¡toma, toma, toma!)

Yo soy jefe de la mafia
Y tengo mucho dinero
Socio de Pablo Escobar
También de Caro Quintero
No me han podido agarrar
No saben donde me encuentro

Yo me hago pasar por muchos
Hasta por cura del pueblo
He matado a muchos hombres
Hablo de los traicioneros
También grandes del Gobierno
Los he mandado al infierno

Tengo gente muy valiente
Que trabaja para mi
Algunos ya han agarrado
Y no me han de descubrir
Saben muy bien que si lo hacén
Donde estén van a morir

No voy a decir mi nombre
Sólo me llaman el jefe
Si quieren saber quién soy
Investíguenlo si quieren
Yo soy el hombre fantasma
Que puede andar entre ustedes

(¡Viva México!)
(¡Ajay!)

También el Chapo Guzmán
Lo enseñe a ganar dinero
El de las pacas de a kilo
Ese es mi fiel compañero
Y el de la clave privada
También fue mi pistolero

Tengo aviones personales
No nomás en un país
Tengo mis propias mansiones
En México y en París
A mi me sobran mujeres
Soy el hombre más feliz

No voy a decir mi nombre
Sólo me llaman el jefe
Si quieren saber quién soy
Investíguenlo si quieren
Yo soy el hombre fantasma
Que puede andar entre ustedes"
Grupo Exterminador,El Muchacho Y El Teniente,1990,True,,"No quieras hacerte el héroe es por tu bien muchachito te puede costar la vida si no me entregas los kilos estas retando al gobierno y ese es un grabe delito
La muerte a mi no me asusta mucho menos sus palabras la carga que usted me pide completa jure entregarla pinte la raya teniente y haber la suerte a quien carga
Que sean las armas quien hablen ya que estas muy decidido se ve que tienes tamaños yo también tengo los míos a una señal del teniente se empiezan a escuchar tiros
A penas tenia 20 años pero agallas le sobraban empezó a tartamudear la r-15 que cargaba y a seis de los federales al mas aya los mandaba
Con dos impactos de bala caía herido el valiente pero volvió a disparar y callo muero el teniente llevo el polvo hasta Tijuana burlándose de la gente
El nombre jamás se supo y aquel valiente muchacho cuentan que por Michoacán alegre se anda paseando gastando muchos billetes y otro viaje preparando"
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1990,True,,"Ponle un cassette a la troca, destapame otra cerveza

Ponle un cassette a la troca, destapame otra cerveza
Esta carga la llegamos, te apostare mi cabeza
Por que al llegar a Tijuana, se acabara, la pobreza

De la sierra de Guerrero, salieron de madrugada
Tenian que llegar al norte, la carga estaba tratada
Llevaban muy buenas armas, por si algo se atravesaba

En la troca habian clavado, varios kilos de heroina
Como la carga era cara, la envoltura era muy fina
Y pusieron Doble Fondo, al tanque de gasolina

Jacinto le dice a Juan, al pasar una caseta
Ya nos vio la de caminos, sacate las escopetas
Tu tirales a matar, yo vuelo en la camioneta

A una gran velocidad, se escuchan detonaciones
Ademas de varios vuelcos, tambien varias explosiones
Y en una troca dos hombres, se dan felicitaciones

Dicen que por california, se vio la troca mentada
Que agarro la quince norte, rumbo a las vegas nevada
Y en Tijuana los buscaban, pero no encontraron nada"
Los Huracanes Del Norte,La Suburban Dorada,1990,True,,"Una Suburban dorada
Con los cristales ahumados
Venía de Zacatecas
Iban para el otro lado
La manejaban Arturo
Y Raúl, su primo hermano

Venían cargados de droga
Con destino a Colorado
Pero llegarían al Paso
A levantar un encargo
No sabían lo que el destino
Les tenía preparado

Se sentían bien amparados
En la Suburban dorada
Traía el motor alterado
Y estaba toda blindada
Arturo dice orgulloso
Ni el demonio nos alcanza

Antes de entrar a Coahuila
Había un retén federal
Un judicial les pregunta
¿Señores, de dónde son?
De Zacatecas, contestan
Pero vamos a Torreón

El judicial les dice muy despacio
Les dice por la ventana
Alguien ya les puso el dedo
Y sé que traen hierba mala
Móchense con una feria
Y se van como si nada

¿De cuánto me habla, jefazo?
No traemos mucho dinero
Todavía no colectamos
Pero le ofrezco algo bueno
También traigo de la blanca
Le doy algo y ahí nos vemos

A mí me das efectivo
O ahora mismo los detengo
A ellos no les gustó nada
Que se pusieran tan necios
Y con sus cuernos de chivo
Desataron un infierno

Cayeron seis judiciales
Por las balas de la mafia
De los seis, un ambicioso
Pudo evitar la batalla
Alguien me dijo que en Denver
Vio la Suburban dorada

Oye nomás, compadre
Déjenme decirles, hombre
Quiero agradecerles muchísimo su presencia en esta tarde
A cada uno de ustedes, y de veras
Si les gustan los corridos pesados nomás péguenle un grito, compa"
