artist,song,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Grupo Exterminador,Me Encanta la Travesura ,A mi me gusta el tequila que sale de los magueyes a mi no me ofrezcan agua que el agua es para los bueyes por eso traigo dinero pa darme vida de reyes,0,0,3,0,0,0
Skool 77,Una Vida Al Gusto,"mujeres y civiles, pueden matar la carne pero",0,0,0,0,0,0
Chalino Sánchez,Eleazar Quintero,Las mujeres los persiguen por su modo tan amable,0,0,0,0,0,0
Los Tigres Del Norte,El Canelo,¡Por darles tanto dinero!,0,0,1,0,0,0
Alemán,La Pálida,Los diamantes en el motor del carro (en el clavo),0,0,3,0,0,0
Los Huracanes Del Norte,Clave 7,"Yo no me fio de esa gente, que la deslumbra el dinero,",0,0,0,0,0,0
Alemán,Mi Tío Snoop,No te preocupes por esas mujeres (Jaja),0,0,0,0,0,0
Alberto Vázquez,Corrido De Chihuahua,"plata y oro del Parral,",0,0,1,0,0,0
Pedro Infante,El Aventurero,Vi mujeres a montones,0,0,1,0,0,0
Los Tigres Del Norte,Carrera Contra La Muerte,Te traigo mucho dinero,0,0,2,0,0,0
Chalino Sánchez,Juventino Quintero,paboniaba y cachas de oro muy bonito relumbraba,0,0,2,0,0,0
Mike Diaz,Ser Galáctico ,Fórrate de dinero,0,0,3,0,0,0
Los Tucanes De Tijuana,Que Bonita Es La Parranda,Porque no tenía dinero,0,0,0,0,0,0
Ovi,Vengo De Nada,Fiesta y mujeres pa' variar,0,0,1,0,0,0
Carlos Y Jose,Gloria Reyes,Y aveces con su dinero,0,0,1,0,0,0
Antonio Aguilar,El Palenque,Y si quieren les apuesto mi dinero,0,0,0,0,0,0
Los Tigres Del Norte,El Canelo,De dólares traiga pacas,0,0,2,0,0,0
Rich Vagos,Lo Logramos,Tengo miles de billetes pa' poder gastar,0,0,2,0,0,0
Los Cadetes De Linares,Nomas Las Mujeres Quedan,Nomás las mujeres quedan,0,0,0,0,0,0
Banda Sinaloense Los Recoditos,Los Mil Kilos,Porque era mucho dinero,0,0,1,0,0,0
Adan Cruz,Volare,Buscando dolares busca implacable de liam nesson asi que fumas que aguantas ya vere un dap con varios gramos para que se ahogen y si las nuves se convierten en dolares me forjo el mejor porro que puedo y volare,0,0,0,0,0,0
Dharius,Hago Lo Que Quiero,"Las máquinas cuentan dinero, cuando hay que accionar",0,1,3,0,0,0
Los Tucanes De Tijuana,Los Juniors,Se apalabran con billetes,0,0,1,0,0,0
Peso Pluma,Peso Completo,El dinero se guarda en maleta',0,0,2,0,0,0
"Sergio Vega ""El Shaka""",El Malandrin,Son las mujeres bonitas,0,0,0,0,0,0
Wisin,Intro - El Sobreviviente,Me levanté con ganas de hacer dinero,0,0,0,0,0,0
Valentin Elizalde,Nuestro Jale,"En una iban los billetes, en otra quedó el broncón",0,0,0,0,0,0
Los Huracanes Del Norte,La Yegua De Juan Acosta,"Las apuestas eran grandes, volaba mucho dinero",0,0,2,0,0,0
Chino Pacas,FLOTA,Yo sin marcas causo suspiros si por ahí me ven,0,0,0,0,0,0
Chino Pacas,GTO,"Saludo pa'l trenes hasta Salamanca, me voy pa'l gabacho, me traigo las pacas",0,0,0,0,0,0
Los Tigres Del Norte,La Liebre,millones k no ha ganado,0,0,0,0,0,0
Los Cadetes De Linares,Caballo De Pancho Villa,Con cuatro pesuñas de oro,0,0,0,0,0,0
C-Kan,Todo Lo Que Brilla No Es Oro,Sentado con dinero una nueva era,0,0,0,0,0,0
Grupo Exterminador,El Toro Grande,Son dólares de los grandes,0,0,0,0,0,0
Peso Pluma,Lady Gaga,"Y unas' privadas en yate, tronamos las pacas",0,0,2,0,0,0
Charles Ans,No Hay Palabras Bonitas ,"Pero, se que el dinero no fue una razón",0,0,0,0,0,0
Los Huracanes Del Norte,El Mocho Chavez,"Levanto muchos billetes, en un palenque de Juárez",0,0,0,0,0,0
Junior H,Hey CJ,"Sus lujos siempre se da, ah ah ah",0,0,2,0,0,0
Grupo Exterminador,El Dedo,Ademas de unos billetes,0,0,1,0,0,0
Tito Double P,La Bandolera,"Un reloj con diamantes, traigo hasta en los dientes",0,0,3,0,0,0
Chelo,Dos Gallinas Finas,"Dos mujeres pelearon, pelearon",0,0,0,0,0,0
C-Kan,Mujer Bonita,"si me empezaras amar, para olvidarme de otras mujeres",0,0,0,0,0,0
Los Tucanes De Tijuana,El Centenario,Con la mafia se gana dinero,0,0,3,0,0,0
Millonario & W. Corona,De La Calle Soy,"Pa' parecerte a mí, te faltan millones",0,0,0,0,0,0
Antonio Aguilar,El Perro Negro,Hombre de mucho dinero,0,0,1,0,0,0
Jenni Rivera,La Maestra Del Contrabando,Tu pobreza mientras yo gane dinero digan,0,0,0,0,0,0
Charles Ans,La Ultima Canción ,Por sacarle el oro puro a lo que un día fue pelusa,0,0,0,0,0,0
C-Kan,Esta Vida Me Encanta,"después vino el dinero,",0,0,1,0,0,0
Peso Pluma,Vino Tinto,El plan A era generar billetes,0,0,1,0,0,0
Calibre 50,El Burro,Las mujeres han hablado,0,0,0,0,0,0
Calo,Tercera Guerra,No habrá vida ni dinero – no habrá nadie,0,0,0,0,0,0
Sergio Vega Y Sus Shaka's Del Norte,Campos De Amapola,los dólares patrocinan,0,0,2,0,0,0
Mariel Mariel,La Mercancía,"Tomo el dinero, no soy de fierro",0,0,2,0,0,0
Los Tigres Del Norte,Gallo De Pelea,Los gallos y las mujeres,0,0,1,0,0,0
El As De La Sierra,El Periquero,Y también esas mujeres,0,0,1,0,0,0
Los Tigres Del Norte,El Circo,Desaparecio el dinero,0,0,0,0,0,0
Los Tucanes De Tijuana,Mi Tiendita,y hoy me llega el dinero en costales,0,0,2,0,0,0
Los Caminantes,El Potro Lobo Gateado,A depositar el dinero,0,0,2,0,0,0
Denilson,Lágrimas Y Sangre,No traigo joyas ni diamantes soy el mismo de antes,0,0,0,0,0,0
Pesado,El Rengo Del Gallo Giro,A reventar de dinero,0,0,2,0,0,0
Bad Bunny,Estamos Bien,Como narco contando billetes,0,0,2,0,0,0
Chino Pacas,CONMIGO,"Y que sigan llegando las pacas, mi amor",0,0,2,0,0,0
Chalino Sánchez,Martin Felix,"Siempre trae su copa de oro, la que siempre le ha gustado",0,0,2,0,0,0
Los Huracanes Del Norte,Oro Verde,"Con billetes se hacen sordos, y hasta en ciegos los convierto",0,0,3,0,0,3
Alemán,Estilo y Flow,Para hacer dinero hay mil maneras,0,0,1,0,0,0
Los Cadetes De Linares,Corrido de los Perez,"Perdieron vida y caballos, y perdieron su dinero",0,0,0,0,0,0
Chalino Sánchez,El Corrido De Badiraguato,Donde hay hombres muy valientes y sus mujeres divinas,0,0,,0,0,0
Los Tucanes De Tijuana,El Jabalí,la judicial del estado 20mil dolares fueron,0,0,3,0,0,3
Natanael Cano,Golpes De La Vida,No vengo de una familia con mucho dinero,0,0,0,0,0,0
Luis Y Julian,La Banda De Los Zurrones,Por no decir que millones,0,0,1,0,0,0
Junior H,El Chachito Anda Alegre,"Así como llegan las pacas, se van",0,0,2,0,0,0
Bad Bunny,Estamos Bien,El dinero me llueve (Hey),0,0,0,0,0,0
Voz De Mando,"El Ranchero Al Que Apodan ""el Mayo"" ",Mucho dinero joyas y carros,0,1,2,0,0,0
Cartel De Santa,Si Son Bien Jotos ,Ando al puro pedo con billetes en la bolsa,0,0,2,0,0,0
Natanael Cano,Toronto,"Digital es el dinero, hey (yah)",0,0,1,0,0,0
Beto Quintanilla,Mauro Garcia,Y jugadas de dinero,0,0,1,0,0,0
Los Tigres Del Norte,Mis Dos Patrias,¿Qué haré ya viejo si me quitan mi dinero?,0,0,0,0,0,0
Alemán,No Me Digas Na,"Billetes bajos no portamos, sólo cien, yeah",0,0,2,0,0,0
Alemán,Tumbados en la Trampa,"La calle nos dio dinero, nos quitó lo que más queremos",0,0,3,0,0,0
Natanael Cano, VLV,El dinero es lo único verdadero,0,0,3,0,0,0
Jenni Rivera,Jefa De Jefas,"""Y ahy teva Benito Nava también las mujeres pueden! aunque",0,0,0,0,0,0
Peso Pluma,Mami,"Que sigan tronando las pacas, viejo",0,0,2,0,0,0
Los Tucanes De Tijuana,Temporada En La Sierra,Dólares se me revelan,0,0,1,0,0,0
Fuerza Regida,chufulas,"Otra vez ando pedo, chúfulas, dinero",0,0,1,0,1,0
Daddy Yankee,Talento De Barrio,"Una casa, más ropa, ver dinero",0,0,2,0,0,0
Lorenzo De Monteclaro,Ayer Baje De La Sierra,Si quieres ganar dinero,0,0,1,0,0,0
El As De La Sierra,Alegre Y Mujeriego,"Y que no se le olvide que las mujeres buenas se van al cielo, mi compa",0,0,0,0,0,0
Antonio Aguilar,Domingo Corrales,Pero las mujeres,0,0,0,0,0,0
Calibre 50,Qué Tiene De Malo,Qué me gasto mi dinero en lo que quiero y como quiero y que te importa,0,0,1,0,0,0
Adan Cruz,Volare,"El gallo es de oro me rallo ahorro pa que te lo presto ni pasas el porro, pasalo pasalo pasalo",0,0,0,0,1,0
Colmillo NORTEÑO,CIEN POR UNO,Yo respondo por el niño de oro,0,0,0,0,0,0
Eme MalaFe,Monedita De Oro,No soy monedita de oro,0,0,0,0,0,0
Dharius,Ando Rolando,Rodeado de mujeres bellas,0,0,2,0,0,0
Grupo Laberinto,Clave 7,20 millones era el precio,0,0,3,0,0,3
Chino Pacas,HOY DE PERLAS,"Compa Chino, que sigan llegando las pacas, viejón",0,0,2,0,0,0
El As De La Sierra,Alegre Y Mujeriego,Tener muchas mujeres me gusta mucho más,0,0,3,0,0,0
Los Tigres Del Norte,Mujeres Divinas,"Mujeres, oh mujeres tan divinas",0,0,0,0,0,0
Alemán,Si Chuy,"Billetes verdes, los voy a tener (ah)",0,0,2,0,0,0
George Rhoads,Ando Al Ciego,"Mucho o poco, ya no importa el dinero",0,0,0,0,0,0
Tito Double P,La Bandolera,Me amanezco gastando dinero,0,0,2,0,0,0
Dharius,Hago Lo Que Quiero,"Buenos lujos, mujeres y adicción",0,0,2,0,2,0
Los Bukis,Las Holgazanas,que las mujeres,0,0,0,0,0,0
Rich Vagos,Dolla,Riqueza en misivas contenidos en verso,0,0,0,0,0,0
Chalino Sánchez,Prajedes Felix,Trae una super segunda... con cachas de oro el señor,0,0,2,0,0,0
Los Alegres De Teran,Juan Charrasqueado,A las mujeres mas bonitas se llevaba,0,0,3,0,0,0
Adan Cruz,Volare,"Mis compás me dicen vuelale, correle por esos dolares, por esos dolares yo volare,",0,0,3,0,0,0
Grupo Marrano,Cachondo Y Cochino,"Era un chamaco tendón, le encantaba la puñeta, tenía la verga de en forma, de mango de bicicleta, jamás habiá cogido, jamás probó una panocha, hasta que llegó aquél día, que se topó aquella zorra, Paulino andaba cachondo y con dinero en la bolsa",0,0,0,0,0,0
Natanael Cano,Lio,Mi hermano de sangre me cuenta los billetes (yah),0,0,0,0,0,0
Los Broncos De Reynosa,Clave 7,"Veinte millones de pesos, era el precio de su cuero,",0,0,2,0,0,0
Chino Pacas,LLEVARTE,Brillan los diamantes y ahorita ya hasta veo el doble,0,0,0,0,0,0
Grupo Exterminador,El Toro Grande,Cachas de oro y tiro arriba,0,0,1,0,0,0
Eme MalaFe,Oveja Negra 2,Ver que por dinero humillen a la jefa,0,0,0,0,0,0
Los Tucanes De Tijuana,Jaime González,Te deja mucho dinero,0,0,1,0,0,0
