artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Pepe Aguilar,El Hijo De Lamberto Quintero,1996,A defender en la vida,0,0,0,0,0,0
Denilson,Mi Coro,2021,Si tengo que matar pa' proteger lo que tengo te juro que Dios me perdone,1,0,0,0,0,0
Larry Hernández,El Taliban,2009,Su certificado muerte,0,0,0,0,0,0
Los Cadetes De Linares,Sucedio En El Aguaje,2008,Dejaremos que hablen nuestras armas,2,0,0,0,0,0
Los Tucanes De Tijuana,Masacre En Vallarta,1997,Más de treinta gatilleros,3,0,0,0,0,0
El As De La Sierra,El Cachas De Oro,1998,el arma queda con migo,1,0,0,0,0,0
Los Caminantes,Arnulfo Gonzalez,1984,Cada uno con su pistola,1,0,0,0,0,0
Los Huracanes Del Norte,El Gato Negro,1988,"Conozco todos, los traficantes",2,0,0,0,0,0
Chalino Sánchez,El General Y El Sargento ,2008,Sabía manejar las armas,2,0,0,0,0,0
Bronco,Amor Salvaje,2019,Porque la yegua busco la muerte,0,0,0,0,0,0
Peso Pluma,La People II,2024,Hay que proceder en la Defender,0,0,0,0,0,0
Chalino Sánchez,Ignacio Parra,2012,Les descargué la pistola,2,0,0,0,0,0
Valentin Elizalde,118 Balazos,2008,Tres balazos me pagaban,2,0,0,0,0,0
Los Invasores De Nuevo Leon,Laurita Garza,2006,Con ella le dio 6 tiros,2,0,0,0,0,0
Carlos Y Jose,La Entalladita,1980,Respeta el cariño que traigo pistola,1,0,0,0,0,0
Vicente Fernández,El Tahúr,2006,Vidal descargo su arma,2,0,0,0,0,0
Carlos Y José,La Preciosa,1988,Cuatro amigos de la infancia,0,0,0,0,0,0
Chalino Sánchez,El Guilo Rivera,1998,"Después la balacera, el guilo quedaba muerto",3,0,0,0,0,0
Los Caminantes,Valentin De La Sierra,1984,Por tu religion me van a matar,0,0,0,0,0,0
Antonio Aguilar,El Rey Del Corral,2006,"MI MUJER Y MI PISTOLA""",1,0,1,0,0,0
Julión Álvarez Y Su Norteño Banda,El Guitarrero,2022,Me quiere matar la cruda,0,0,0,0,0,0
Calibre 50,Ajustes Inzunza,2012,Blindaje en las calles,3,1,0,0,0,0
Calibre 50,Strawberryfish,2021,"¡Y puro Calibre 50, pariente!",0,0,0,0,0,0
Los Tucanes De Tijuana,Sócias De La Mafia,2003,"Todo aquel que se atraviesa, lo despedazan a tiros",3,0,0,0,0,0
Faruz Feet,Puro Corazón ,2015,"Nunca he disparado un arma, ni he visto junto un millon",2,0,1,0,0,0
Los Tucanes De Tijuana,La Recompensa,1996,Y no ser un rico muerto,1,0,1,0,0,0
Chalino Sánchez,El Corrido Del Quitillo,1998,a debajo del asiento se encontraba la pistola,1,1,0,0,0,0
Los Alegres De Terán,El Ojo De Vidrio,1980,"Con su caballo tordillo, frente de la plaza de armas",,1,0,0,0,0
Fuerza Regida,El Diablo,2022,Y allá en Cuauhtémoc pongo a tirar,1,0,0,0,0,0
Alemán,Bachas,2020,"No te vo' a tirar, mejor tú dilo",0,0,0,0,0,0
Denilson,Mujeres Y Metales,2021,"Jabs y rectos te conecto, voy a defender mi esquina",0,0,0,0,0,0
Bad Bunny,El Clúb,2025,"Pero no, estoy muerto por dentro",0,0,0,0,0,0
Maria De Lourdes,De Aqui Hasta La Tumba,1988,Los tres cuerpos heridos de muerte.,2,0,0,0,0,0
Carlos Y Jose,El Bipper De Mis Amigos,2012,Dese muerto aunque mucho se esconda.,2,0,0,0,0,0
Valentín Elizalde,Clave Privada,2013,mi gente se me enloquece cuando le ordeno matar.,3,0,,2,,
Banda Machos,Pacas De A Kilo,2000,Ahi traigo un cuerno de chivo,3,0,0,0,0,0
Chalino Sánchez,La Muerte Del Pela Vacas,2012,La muerte del Pela Vacas,1,0,0,0,0,0
C-Kan,Un Par De Balas,2014,Ya después me vienes con que me vas a matar,1,0,0,0,0,0
Sergio Vega,El Santo De La Palma,2009,lo que no saben que traigo al mismo diablo de un cuerno...,0,0,0,0,0,0
Carlos Y José,Santos Cantu,1988,Santos se encontraba muerto y su cuerpo levantaron,2,0,0,0,0,0
Cartel De Santa,Jake Mate,2002,"Llamado el emisario, aliado de la muerte",1,0,0,0,0,0
Antonio Aguilar,El Mayor De Los Dorados,1984,"En Jiménez, la muerte encontró",1,0,0,0,0,0
Antonio Aguilar,Corrido De Arnulfo Gonzalez,1997,"Se agarraron a balazos, se agarraron frente a frente,",3,0,0,0,0,0
Pepe Aguilar,El Hijo De Lamberto Quintero,1996,Aquel que dejarón muerto,2,0,0,0,0,0
Joan Sebastian,Carrera A Muerte,1988,Que a la muerte se acercaban,1,0,0,0,0,0
Julión Álvarez Y Su Norteño Banda,Los Dos Compadres,2013,También la muerte iba allí,1,0,0,0,0,0
Fuerza Regida,Soy El Pirata,2022,Si voy al volante o al igual tronando un cuerno,3,2,0,0,0,0
Lorenzo De Monteclaro,Contrabando Y Traicion,1988,Las cuatro llantas cambiarón,,2,0,0,0,0
Daddy Yankee,Talento De Barrio,2008,A pesar de la sombra 'e la muerte,0,0,0,0,0,0
Los Tucanes De Tijuana,Sócias De La Mafia,2003,Le dieron 15 balazos la nena logro salvarla,3,0,0,0,0,0
Los Cadetes de Linares,Dimas De Leon,1980,"De dos balazos certeros, el cráneo le atravesó",3,0,0,0,0,0
Los Invasores De Nuevo León,El Último Cartucho,1996,Hacía estragos con su rifle,2,0,0,0,0,0
Chalino Sánchez,La Muerte Del Pela Vacas,2012,La muerte en puros billetes,1,0,1,0,0,0
Los Tucanes De Tijuana,Suerte Marcada,2008,Se anda paseando la muerte,1,0,0,0,0,0
Antonio Aguilar,El Dia De San Juan,1997,Cuando un tiro de pistola,2,0,0,0,0,0
Chalino Sánchez,Rafael Villarreal,2012,ahora son mas de cuatro los que le tienen envidia,0,0,0,0,0,0
Natanael Cano,Free Nata,2022,Traigo dos Rolex puestos y otros cuatro en la casa,,0,2,0,0,0
Ramon Ayala,Once Tumbas,1976,y el año del treinta cuatro,0,0,0,0,0,0
Los Cadetes de Linares,El Retorno De Chito Cano,1980,Cuatro hombres habrá tirados,2,0,0,0,0,0
Porte Diferente,Prefiero Parranda,2020,So a mí ya no me llames a las cuatro 'e la mañana,0,0,0,0,0,0
Kartel De Las Calles,Las Calles Me Llaman,2006,Dos tiros de gracia que aún me arden al acordarme,2,0,0,0,0,0
"""El Piporro""",Arnulfo Gonzalez,2002,Con La Muerte Lo Amago,1,0,0,0,0,0
Los Tucanes De Tijuana,El Chapo Guzmán,1996,De gatilleros mafiosos,2,0,0,0,0,0
Vaquero's Musical,La Muerte Del Carrete,1996,"-¡Primero muerto, que rendirme!",0,0,0,0,0,0
C-Kan,Mama Me Dijo Un Dia,2015,Ahora y en la hora de nuestra muerte,0,0,0,0,0,0
Los Tigres Del Norte,Los Dos Plebes,2007,Que andaba en malos pasos,1,0,0,0,0,0
Grupo Exterminador,El Toro Grande,2000,Tres o cuatro centenarios,0,0,0,0,0,0
Los Tigres Del Norte,Contrabando Y Robo,1988,Varios balazos se oyeron,2,0,0,0,0,0
Los Tucanes De Tijuana,El Bachoco,2014,Por las buenas o a balazos,2,0,0,0,0,0
Chalino Sánchez,Amador Garcia,2008,"varios quieren verlo muerto, o que siga en el presidio",3,0,0,0,0,0
Los Huracanes Del Norte,El Chipilon,1998,"Lo acribillaron, a tiros",3,0,0,0,0,0
Adan Cruz & Lc Padrino,Trece Remix,2020,Aprecio a la vida también a la muerte,0,0,0,0,0,0
Luis Y Julian,Catarino Y Los Rurales,1997,Bonita pistola escuadra,3,0,0,0,0,0
Valentin Elizalde,Rodolfo Campa Roldan,2008,por que solo se escucho sonar un cuerno de chivo.,3,0,0,0,0,0
Lorenzo De Monteclaro,Eran Cuatro De A Caballo,1988,Eran cuatro de a caballo,1,0,0,0,0,0
Los Tucanes De Tijuana,Se desgrano la mazorca,1997,y saldran libres los cuatro,0,0,0,0,0,0
Carlos Y Jose,Gloria Reyes,1976,Cinco balazos sonaron,2,0,0,0,0,0
Illya Kuryaki & The Valderramas,Abarajame,1996,Pues según la ley ocho tiros legales,2,0,0,0,0,0
Los Invasores De Nuevo Leon,El Güero Palma,1996,"de la muerte, no se diga,",0,0,0,0,0,0
