artist,song,year,lustro,es_narco_fuerte,subgenero_ia,etiqueta_humana,lyrics
Los Tigres Del Norte,Juan Guerrero,1983,1980,1,5,1.0,"Por esta esquina yo le dije a mi chatita
Que si me amaba que me diera su retrato
Ella me dijo para que si te amo tanto
Solo la muerte hoy nos puede separar

Nos abrazamos al llegar a los portales
Y en ese instante se escucharon tres balazos
Sus familiares la mataron en mis brazos
Porque juraron nuestro amor desbaratar

Como de rayo conteste con mi pistola
Matando cuatro y al cuñado de mi novia
Cuando llegaron policías de la montada
Ni echando bala me pudieron desarmar

Cuando a la buena presente declaraciones
Me preguntaron cuantas armas yo portaba
Les conteste que nada más reglamentaria
Dos cinturones con diez y ocho cargadores

Me preguntaron ¿Cuales son tus credenciales?
Ocupaciones y mi nombre verdadero
Llevo por nombre y apellido Juan Guerrero
Soy delegado de la unión de aserraderos

Comisionado de la agraria campesina
Llevo expropiadas cuatro haciendas gachuipinas
Me preguntaron ¿Cuántas veces has matado?
Y yo les dije cuantas veces me han buscado

Me dieron libre por legitima defensa
Y a mi pistola la respetan por influencias
Este corrido de un amor tan verdadero
Es de un amigo que se llama Juan Guerrero"
Carlos Y Jose,El Gallo De San Juan,1985,1985,1,5,1.0,"A Nuevo León fui a un palenque
Al pueblo de Cadereyta
Oí cantar un corrido
De Manuel Salcido Auzeta
Un gallo de ahí de San Juan
Que trae la navaja puesta

Manuel cayó en una trampa
Antes de que el sol saliera
Causa del amarrador
Él quedó tras de las rejas
Pero ya brinco las trancas
Sin molestar las compuertas

Con la navaja arrastrando
Se fue escribiendo unas letras
Diciendo a aquel que lo busque
Ya sabe con lo que cuenta
Que solo a Dios y al gobierno
Es lo único que respeta

Por ahí cuentan que ese gallo
Mucho antes que amaneciera
Lo miraron en la noche
Desde el cielo las estrellas
Que atravesó Tierra Blanca
Con rumbo fijo a la sierra

Ahí lo vieron por Sonora
Iba con rumbo a Nogales
Lo encontraron en Tijuana
Por Chihuahua y Ciudad Juárez
En busca del gallo negro
El que le mato a su padre

Por ahí cuentan los galleros
Que ese gallo es muy jugado
Azote allá en Sinaloa
Le pusieron por bragado
Amigo de los amigos
Y padre de los malvados"
Carlos Y Jose,El Gallo De San Juan,1985,1985,1,5,1.0,"A Nuevo León fui a un palenque
Al pueblo de Cadereyta
Oí cantar un corrido
De Manuel Salcido Auzeta
Un gallo de ahí de San Juan
Que trae la navaja puesta

Manuel cayó en una trampa
Antes de que el sol saliera
Causa del amarrador
Él quedó tras de las rejas
Pero ya brinco las trancas
Sin molestar las compuertas

Con la navaja arrastrando
Se fue escribiendo unas letras
Diciendo a aquel que lo busque
Ya sabe con lo que cuenta
Que solo a Dios y al gobierno
Es lo único que respeta

Por ahí cuentan que ese gallo
Mucho antes que amaneciera
Lo miraron en la noche
Desde el cielo las estrellas
Que atravesó Tierra Blanca
Con rumbo fijo a la sierra

Ahí lo vieron por Sonora
Iba con rumbo a Nogales
Lo encontraron en Tijuana
Por Chihuahua y Ciudad Juárez
En busca del gallo negro
El que le mato a su padre

Por ahí cuentan los galleros
Que ese gallo es muy jugado
Azote allá en Sinaloa
Le pusieron por bragado
Amigo de los amigos
Y padre de los malvados"
Lorenzo De Monteclaro,Contrabando Y Traicion,1988,1985,1,12,1.0,"Salierón de San Isidro
Procedentes de Tijuana
Traían las llantas del carro
Repletas de hierba mala
Eran Emilio Varela
Y Camelia, la Texana
Pasaron por San Clemente
Los paró la emigración
Les pidió sus documentos
Les dijó: ""¿De donde son?""
Ella era de San Antonio
Un hembra de corazón
Un hembra si quiere un hombre
Por el puede dar la vida
Pero hay que tener cuidado
Si esa hembra se siente herida
La traición y el contrabando
Son cosas incompartidas
A Los Angeles llegarón
A Hollywood se pasaron
En un callejón oscuro
Las cuatro llantas cambiarón
Ahí entregarón la hierba
Y ahí también les pagarón
Emilio dice a Camelia
""Hoy te das por despedida
Con la parte que te toca
Tu puedes rezar tu vida
Yo me voy para San Francisco
Con la dueña de mi vida""
Sonarón siete balazos
Camelia a Emilio mataba
En un callejón oscuro
Sin que se supiera nada
Del dinero y de Camelia
Nunca más se supo nada"
Los Broncos De Reynosa,Clave 7,1985,1985,1,12,1.0,"En el retén de la Loma, estaban 100 federales
Preguntando por Pedrito, también por Paulino Burgos,
Pero andaban despistados, le preguntaban a un mudo.

Clave 7 es la consigna, de agentes y de soldados,
Ese león ya crío melena, van a tener que matarlo,
Nomás no se arriesguen mucho,
Primero hay que traicionarlo.

En la ciudad de Hermosillo, hubo una concentración
También pusieron retenes, por todita la nación
Lo cierto es que los transportes, Pedrito los regaló.

Le mandaron 2 agentes, que le pidieran dinero,
Veinte millones de pesos, era el precio de su cuero,
Pero como era camuco, lo tomaron prisionero.

Junto con dos compañeros, además dos señoritas
Los llevaron a la Y griega, era la ultima cita,
Ahí los acribillaron, junto con las jovencitas.

Desde ese día inolvidable, no rola tanto dinero,
Y unos agentes traidores, ahora estrenan carro nuevo,
Y un hombre en Guadalajara, no duerme de puro miedo.

Adiós señor comandante, aquí lo llevo en mi lista
Usted me echó por delante, ahí lo espero en la revista
Ya que tumbo mi panal, ahora toree las avispas.

Mis armas no las entrego, van a quedar en el cerro,
Yo no me fío de esa gente, que la deslumbra el dinero,
Ya murió el León de la Sierra, vengan a quitarle el cuero.

Adiós todos mis amigos, del Valle de Culiacán,
Ninguna ley del gobierno, mi nombre podrá cambiar
Me llamo Pedro Avilés, no se les vaya a olvidar."
Los Tigres Del Norte,El Tahur,1988,1985,1,8,1.0,"Oye Martín
¿Qué pasó?
¿Nos echamos una manita de pokar?
Pues si pa' eso me andas buscando, vámosle entrando

Martín Estrada Contreras
Un tahúr profesional
Lo respetaba la gente
Porque jugaba legal
Era pa' todos, derecho
Sabía perder o ganar

Pero una joven hermosa
Le llegó al corazón
Él la convierte en su esposa
Ante el altar del Señor
Es para él una rosa
De su jardín, linda flor

Al pueblo llegó un fulano
Que a Martín vino a buscar
Pero Martín perdió todo
Ya no tenía qué apostar

Si quieres mirar mis cartas
Tienes que pagar por ver
Martín contesta sereno
Te apostaré mi mujer
Tenía una mano segura
Sabía que no iba a perder

Se destaparon cuatro ases
Se sintió Martín morir
Del juego así son las leyes
Hay que aprender a sufrír
Tenía un pokar de reyes
No había, ni qué discutir

Martín salió como un rayo
Y en dos horas regresó
Su esposa iba a su lado
Todo en silencio quedó

Pa' mí las deudas del juego
Son siempre deudas de honor
Te entrego lo que más quiero
Pero te la entrego muerta
Aunque me destroza el alma
De sentimiento y dolor

Se oyeron dos fogonazos
De dos balas expansivas
Primero mató a su amada
Después se quitó la vida"
Pedro Infante,Nacho Bernal,1988,1985,1,6,1.0,"Aah-ja-ja
¡Ahí viene Nacho Bernal!

Caramba yo soy tu rey
Mi caballo es el segundo
Ahora se hacen a mi ley
O los aparto del mundo

Yo no sé ni dónde iré
Ni cuál será mi destino
Me anda buscando la ley
Por toditos los caminos

Aah-ja-ja
¡Ahí anda Nacho Bernal!

Yo soy Ignacio Bernal
Que me piden vivo o muerto
Me andan queriendo asustar
Con el petate del muerto

Si el día se me ha de llegar
Así será mi destino
Y nunca Ignacio Bernal
Necesitó de padrino

¡Cuídate Nacho!
Aah-ja-ay

Cuando a la plaza llegó
Se amotinaba la gente
Gritando viva Bernal
Los hombres que son valientes

Alguien le corrió a avisar
""Bernal, ahí viene la tropa""
Aquí los voy a esperar
A ver de a cómo nos toca

Aah-ja-jay
¡Pobre Bernal, no se cuidó!

Cuando el gobierno llegó
Se le fueron como rayo
Matando a Ignacio Bernal
Y también a su caballo"
El As De La Sierra,El Rayo De Sinaloa,1997,1995,1,5,1.0,"Cantaba la flor de dalia, alegre estaba el mitote
Iban tendiendo la trampa, pa' cazar a Armando López
El que bajaba las naves por distintos horizontes

Le sobraban los amores, al Rayo de Sinaloa
No le faltaban billetes, al amo de soyotita
Apreciado por los grandes y el galán de las artistas

Oiga compadre Medina, no apagues tu celular
El domingo baja un ave en el desierto de altar
Allá te espero en Tijuana, lo vamos a celebrar

Ahí le va mi Sinaloa

Con diez balazos de súper terminaron aquel baile
El Rayito cayó herido, no se pudo remediar
Para disfrazar el crimen, lo echaron a un bulevar

El Rayo cayó en Tijuana a tiros lo asesinaron
Al padre le secuestraron, la perra andaba muy brava
Al otro hermano mataron, allá por Guadalajara

Medina carga una lista, la perra vuelve a ladrar
Por la muerte de los López, alguien tendrà que pagar
La muerte de esos valientes, Medina las va a cobrar"
El As De La Sierra,El Gallito Fugado,1997,1995,1,5,1.0,"voy a quitarme el sombrero
pa cantarle a un gran amigo
en Culiacán Sinaloa
nació esta gallito fino
septiembre 9 fue el día
63 fue testigo

su trayectoria es bravía
entre muerte y contrabando
diciembre 91
dos muertes a el le achacaron
mi compa se les fugo
y se fue pal otra lado

año del 95
cumplen orden de aprensión
a causa de un maldito dedo
villa lobos fue el soplon
el gobierno americano
arresta a este gran señor

lo extraditan a su tierra
a Sinaloa querido
en el penal de agua ruto
estuvo preso un amigo
no fuiste jaula pal gallo
6 meses duro cautivo

hoy anda libre el señor
como el venado en la sierra
se dedica al contra bando
por cielo mar y por tierra
de Culiacán a los Mochis
manda yerba ala frontera

con su super serie 70
la escuadra que lo acompaña
enamorado es el hombre
también le gusta jalar la banda
también al el as de la sierra
para completar la parranda

adiós rancho de Bacatá
de cósala Sinaloa
el día 9 de septiembre
se festeja con tambora
se despide un gran amigo
de Culiacán Sinaloa"
Grupo Exterminador,El Cartel De La Calle,1996,1995,1,0,1.0,"Soy el cartel de las calles
Y no me asusto de nada
Para hacer pacas de billetes
Yo no ocupo toneladas
Con un poco de perico
Ya traigo la bolsa hinchada

Yo me la paso en el carro
Recorriendo la ciudad
Con un beeper en la bolsa
Y también mi celular
No mas digan cuanta quieren
Y al instante la tendrán

Traigo una súper fajada
Más vale que me lo crean
No presumo de muy bravo
Yo le atoro a lo que sea
Por que si aquí no traes arma
Cualquier zorrillo te mea

Tengo muchas amistades
Que no me hacen quedar mal
Tengo las puertas abiertas
Porque yo no soy ojal
Del cielo le caen las hojas
Al que nace pà tamal

Cuando estaba prisionero
Ya de mi no se acordaban
Pero vieron que era gallo
Y que mi bolsa lloraba
Ahora me dicen pariente
Le tengo una carne asada

Soy el cartel de las calles
Y vénganse a cotorrear
Que perico es lo que sobra
Si no vamos a traer más
Que al cabo estas son las cosas
Que se hicieron pà gozar."
Los Huracanes Del Norte,El Gato De Chihuahua,1997,1995,1,5,1.0,"Hermano, cayó la ley
Está rodeada tu casa
Son puros nervios los tuyos
Porque yo no he visto nada
Así le dije a mi hermano
Para que hiciera confianza

Sabía que estaba rodeado
E interceptaban llamadas
No entraron pronto por mí
Para ver quién más llegaba
Pero se les durmió el gallo
Me pelé en la madrugada

Eran 15 hombres del DEA
Su misión era agarrarme
Soy más astuto que un gato
Eso pude comprobarles
Cuando ellos van yo ya vengo
También yo fui comandante

Al ver que nadie llegó
Dieron la orden para entrar
Cuando tumbaron las puertas
Caen federales pa'trás
Les coloqué unas granadas
En una forma especial

Todo fue una confusión
Por aquellas explosiones
La casa encendida en llamas
Parecía de día la noche
Para ese entonces yo andaba
En Ciudad Juárez, señores

No crean que es la primer vez
Que me les pelo en su cara
Me escapé de San Quintín
De Corcoran y otras jaulas
Los espero por la sierra
Soy el gato de Chihuahua"
Los Invasores De Nuevo Leon,Miguel Perez,1996,1995,1,0,1.0,"Veintidós años tenía, cuando a prueba lo pusieron
En Reynosa Tamaulipas, un cargamento le dieron
Y al ponerlo en California, su valor Reconocieron

Miguel así demostraba, que pal' hombre no hay edades
Con cariño recordaba los consejos de su padre
Que es todo lo que respeta, y a Dios que habrá de juzgarle

Tiene muchas cualidades: valor y muy buena suerte
También tiene mucha clase, no presume de valiente
Pero ni al diablo le teme, ni se le raja a la muerte

Su presencia se respeta, en Veracruz y Colombia
También en Guadalajara, en Texas y California
¿Será porque tiene fama, o por su gran trayectoria?

""La fama provoca envidia"", dice un dicho verdadero
Y muchos le tienen tirria, quisieran ponerle el dedo
Pero pagarlo tendrían, con el precio de su cuero

Tiene un amigo que estima, en tierras veracruzanas
Y de Víctor no se olvida, los dos son de sus confianzas
Miguel Pérez los saluda, desde las tierras texanas"
Los Tigres Del Norte,Contrabando Y Robo,1998,1995,1,12,1.0,"De Reinosa procedentes
Pasaron por el encino
Chequearon sus pasaportes
Y siguieron su camino
Llevaban unos paquetes
Houston era su destino

En los paquetes llevaban
20 kilos de la fina
Muy adentro la ocultaban
Del tanque de gasolina
Por eso la empaquetaban
En envolturas muy finas

De la mafia y el destino
Nunca nadie se ha escapado
El que anda por buen camino
No debe andar preocupado
Pero Ramiro y Fortino
La carga se habían robado

A Houston iban llegando
Los paró la emigración
Era el jefe de la banda
Con disfraz a perfección
Varios balazos se oyeron
Y los gritos de perdón

Volvió a su dueño la carga
Solo dos muertos quedaron
Aquí el que la hace, la paga
En Houston ya se enteraron
Los ha matado la mafia
Por eso nunca llegaron

De la mafia y el destino
Nunca nadie se ha escapado
El que anda por buen camino
No debe andar preocupado
Pero Ramiro y Fortino
La carga se habían robado"
Los Tucanes De Tijuana,El Pariente,1998,1995,1,0,1.0,"Quien lo ve, ni se imagina
En las broncas que se mete
Porque se ve muy tranquilo
Y ademas siempre sonriente
Los que lo conocen dicen
Que es de sangre de valientes.

De negocios, sabe mucho
Porque siempre ha trabajado
Pero siempre ha preferido
El oficio delicado,
Con sus primos y un compadre
Hoy controlan gran mercado.

El Pariente le ha nombrado
A la banda Del Pelon
Porque existe un parentesco
Muy cercano hacia El Señor
Ademas el nunca falla
Eso le ha dado control.

Todo marcha sobre ruedas
No se aguite licencado
Luego leecho otra llamada
Para ver lo de Chicago,
Lo de California y Texas,
Eso ya esta confirmado.

Las envidias no son buenas.
El Pariente siempre ha dicho
Para estar bien en la vida
Hay que trabajar masizo
Por experiencia lo digo
Tengo lo que necesito.

Los que tienen el reinado
Me tienen mucho cariño
Tal vez porque no he fallado,
Eso me ha favorecido,
Me pregunto si un dia fallo
¿Que sucederia conmigo?"
Los Tucanes De Tijuana,Juan Potenciano,1997,1995,1,12,1.0,"Año del 91
Mes de septiembre corría
Por la mañana del 20
Un hombre perdió la vida
Un asesino sin nombre
Le dio muerte a sangre fría

Amigos y familiares
Todos le guardamos luto
Allá en Jalisco y Tijuana
Todos lo apreciaban mucho
Porque siempre fue derecho
Nunca trabajó en lo sucio

No te merecías esto
Amigo Juan Potenciano
Eras un hombre muy bueno
A todos dabas la mano
Que Dios te tenga en la gloria
Nosotros no te olvidamos

Juan Potenciano era un hombre
Cien por ciento ganadero
Dondequiera lo miraban
De botas y de sombrero
Tenía amistades muy grandes
En todo México entero

También era muy alegre
La música le encantaba
Le tocaban Los Tucanes
Por dondequiera que andaba
También Los Incomparables
Y Banda El Chante sonaban

Ha muerto Juan Potenciano
Y sin saber el motivo
Pero recuerden, señores
El dicho tan conocido
Con la vara que tú midas
Con esa serás medido"
